place1,relation,place2,question,answer,transition
Old Swan,borders,Kensington and Fairfield,Does Old Swan border Kensington and Fairfield?,Yes,no_change
Old Swan,borders,Kensington and Fairfield,Is Old Swan within Kensington and Fairfield?,No,replace_top_token
Rawmarsh,borders,Boston Castle,Does Rawmarsh border Boston Castle?,Yes,no_change
Rawmarsh,borders,Boston Castle,Is Rawmarsh within Boston Castle?,No,replace_top_token
Worth Valley,borders,Luddendenfoot,Does Worth Valley border Luddendenfoot?,Yes,no_change
Worth Valley,borders,Luddendenfoot,Is Worth Valley within Luddendenfoot?,No,replace_top_token
Dalton,borders,Brighouse,Does Dalton border Brighouse?,Yes,no_change
Dalton,borders,Brighouse,Is Dalton within Brighouse?,No,replace_top_token
Calverley and Farsley,borders,Pudsey,Does Calverley and Farsley border Pudsey?,Yes,no_change
Calverley and Farsley,borders,Pudsey,Is Calverley and Farsley within Pudsey?,No,replace_top_token
Hebburn North,borders,Monkton,Does Hebburn North border Monkton?,Yes,no_change
Hebburn North,borders,Monkton,Is Hebburn North within Monkton?,No,replace_top_token
Mosborough,borders,Wales South Yorkshire,Does Mosborough border Wales South Yorkshire?,Yes,no_change
Mosborough,borders,Wales South Yorkshire,Is Mosborough within Wales South Yorkshire?,No,replace_top_token
Batley East,borders,Birstall and Birkenshaw,Does Batley East border Birstall and Birkenshaw?,Yes,no_change
Batley East,borders,Birstall and Birkenshaw,Is Batley East within Birstall and Birkenshaw?,No,replace_top_token
Old Moat,borders,Fallowfield,Does Old Moat border Fallowfield?,Yes,no_change
Old Moat,borders,Fallowfield,Is Old Moat within Fallowfield?,No,replace_top_token
Tonge with the Haulgh,borders,Breightmet,Does Tonge with the Haulgh border Breightmet?,Yes,no_change
Tonge with the Haulgh,borders,Breightmet,Is Tonge with the Haulgh within Breightmet?,No,replace_top_token
Darfield,borders,North East,Does Darfield border North East?,Yes,no_change
Darfield,borders,North East,Is Darfield within North East?,No,replace_top_token
Milkstone and Deeplish,borders,Central Rochdale,Does Milkstone and Deeplish border Central Rochdale?,Yes,no_change
Milkstone and Deeplish,borders,Central Rochdale,Is Milkstone and Deeplish within Central Rochdale?,No,replace_top_token
Edgbaston,borders,Harborne,Does Edgbaston border Harborne?,Yes,no_change
Edgbaston,borders,Harborne,Is Edgbaston within Harborne?,No,replace_top_token
Edgbaston,borders,Soho,Does Edgbaston border Soho?,Yes,no_change
Edgbaston,borders,Soho,Is Edgbaston within Soho?,No,replace_top_token
Sharston,borders,Northenden,Does Sharston border Northenden?,Yes,no_change
Sharston,borders,Northenden,Is Sharston within Northenden?,No,replace_top_token
Abbey,borders,Quinton,Does Abbey border Quinton?,Yes,no_change
Abbey,borders,Quinton,Is Abbey within Quinton?,No,replace_top_token
Audenshaw,borders,Gorton South,Does Audenshaw border Gorton South?,Yes,no_change
Audenshaw,borders,Gorton South,Is Audenshaw within Gorton South?,No,replace_top_token
Crumpsall,borders,Sedgley,Does Crumpsall border Sedgley?,Yes,no_change
Crumpsall,borders,Sedgley,Is Crumpsall within Sedgley?,No,replace_top_token
Brooklands,borders,Brooklands,Does Brooklands border Brooklands?,Yes,no_change
Brooklands,borders,Brooklands,Is Brooklands within Brooklands?,No,replace_top_token
Kingshurst and Fordbridge,borders,Smith's Wood,Does Kingshurst and Fordbridge border Smith's Wood?,Yes,no_change
Kingshurst and Fordbridge,borders,Smith's Wood,Is Kingshurst and Fordbridge within Smith's Wood?,No,replace_top_token
Keighley East,borders,Craven,Does Keighley East border Craven?,Yes,no_change
Keighley East,borders,Craven,Is Keighley East within Craven?,No,replace_top_token
Ilkley,borders,Keighley East,Does Ilkley border Keighley East?,Yes,no_change
Ilkley,borders,Keighley East,Is Ilkley within Keighley East?,No,replace_top_token
Middleton Park,borders,Ardsley and Robin Hood,Does Middleton Park border Ardsley and Robin Hood?,Yes,no_change
Middleton Park,borders,Ardsley and Robin Hood,Is Middleton Park within Ardsley and Robin Hood?,No,replace_top_token
St. Matthew's,borders,Paddock,Does St. Matthew's border Paddock?,Yes,no_change
St. Matthew's,borders,Paddock,Is St. Matthew's within Paddock?,No,replace_top_token
Castleton,borders,Bamford,Does Castleton border Bamford?,Yes,no_change
Castleton,borders,Bamford,Is Castleton within Bamford?,No,replace_top_token
Norton & Askern,borders,Ackworth North Elmsall and Upton,Does Norton & Askern border Ackworth North Elmsall and Upton?,Yes,no_change
Norton & Askern,borders,Ackworth North Elmsall and Upton,Is Norton & Askern within Ackworth North Elmsall and Upton?,No,replace_top_token
Rotherham West,borders,Boston Castle,Does Rotherham West border Boston Castle?,Yes,no_change
Rotherham West,borders,Boston Castle,Is Rotherham West within Boston Castle?,No,replace_top_token
Monkton,borders,Primrose,Does Monkton border Primrose?,Yes,no_change
Monkton,borders,Primrose,Is Monkton within Primrose?,No,replace_top_token
Withington,borders,Burnage,Does Withington border Burnage?,Yes,no_change
Withington,borders,Burnage,Is Withington within Burnage?,No,replace_top_token
Warley,borders,Luddendenfoot,Does Warley border Luddendenfoot?,Yes,no_change
Warley,borders,Luddendenfoot,Is Warley within Luddendenfoot?,No,replace_top_token
Reddish North,borders,Heatons North,Does Reddish North border Heatons North?,Yes,no_change
Reddish North,borders,Heatons North,Is Reddish North within Heatons North?,No,replace_top_token
Horsforth,borders,Idle and Thackley,Does Horsforth border Idle and Thackley?,Yes,no_change
Horsforth,borders,Idle and Thackley,Is Horsforth within Idle and Thackley?,No,replace_top_token
Pelaw and Heworth,borders,Felling,Does Pelaw and Heworth border Felling?,Yes,no_change
Pelaw and Heworth,borders,Felling,Is Pelaw and Heworth within Felling?,No,replace_top_token
Doxford,borders,Copt Hill,Does Doxford border Copt Hill?,Yes,no_change
Doxford,borders,Copt Hill,Is Doxford within Copt Hill?,No,replace_top_token
Moreton West and Saughall Massie,borders,Hoylake and Meols,Does Moreton West and Saughall Massie border Hoylake and Meols?,Yes,no_change
Moreton West and Saughall Massie,borders,Hoylake and Meols,Is Moreton West and Saughall Massie within Hoylake and Meols?,No,replace_top_token
Chorlton Park,borders,Northenden,Does Chorlton Park border Northenden?,Yes,no_change
Chorlton Park,borders,Northenden,Is Chorlton Park within Northenden?,No,replace_top_token
Kensington and Fairfield,borders,Everton,Does Kensington and Fairfield border Everton?,Yes,no_change
Kensington and Fairfield,borders,Everton,Is Kensington and Fairfield within Everton?,No,replace_top_token
North Jesmond,borders,West Gosforth,Does North Jesmond border West Gosforth?,Yes,no_change
North Jesmond,borders,West Gosforth,Is North Jesmond within West Gosforth?,No,replace_top_token
Ardsley and Robin Hood,borders,Batley East,Does Ardsley and Robin Hood border Batley East?,Yes,no_change
Ardsley and Robin Hood,borders,Batley East,Is Ardsley and Robin Hood within Batley East?,No,replace_top_token
Rowley,borders,Langley,Does Rowley border Langley?,Yes,no_change
Rowley,borders,Langley,Is Rowley within Langley?,No,replace_top_token
Cleckheaton,borders,Tong,Does Cleckheaton border Tong?,Yes,no_change
Cleckheaton,borders,Tong,Is Cleckheaton within Tong?,No,replace_top_token
Weetwood,borders,Headingley,Does Weetwood border Headingley?,Yes,no_change
Weetwood,borders,Headingley,Is Weetwood within Headingley?,No,replace_top_token
Adel and Wharfedale,borders,Horsforth,Does Adel and Wharfedale border Horsforth?,Yes,no_change
Adel and Wharfedale,borders,Horsforth,Is Adel and Wharfedale within Horsforth?,No,replace_top_token
Little Lever and Darcy Lever,borders,Great Lever,Does Little Lever and Darcy Lever border Great Lever?,Yes,no_change
Little Lever and Darcy Lever,borders,Great Lever,Is Little Lever and Darcy Lever within Great Lever?,No,replace_top_token
East Ecclesfield,borders,Penistone East,Does East Ecclesfield border Penistone East?,Yes,no_change
East Ecclesfield,borders,Penistone East,Is East Ecclesfield within Penistone East?,No,replace_top_token
Primrose,borders,Bede,Does Primrose border Bede?,Yes,no_change
Primrose,borders,Bede,Is Primrose within Bede?,No,replace_top_token
Moseley and Kings Heath,borders,Selly Oak,Does Moseley and Kings Heath border Selly Oak?,Yes,no_change
Moseley and Kings Heath,borders,Selly Oak,Is Moseley and Kings Heath within Selly Oak?,No,replace_top_token
Castleton,borders,Chadderton North,Does Castleton border Chadderton North?,Yes,no_change
Castleton,borders,Chadderton North,Is Castleton within Chadderton North?,No,replace_top_token
Battle Hill,borders,Howdon,Does Battle Hill border Howdon?,Yes,no_change
Battle Hill,borders,Howdon,Is Battle Hill within Howdon?,No,replace_top_token
St. Peter's,borders,Millfield,Does St. Peter's border Millfield?,Yes,no_change
St. Peter's,borders,Millfield,Is St. Peter's within Millfield?,No,replace_top_token
Didsbury West,borders,Old Moat,Does Didsbury West border Old Moat?,Yes,no_change
Didsbury West,borders,Old Moat,Is Didsbury West within Old Moat?,No,replace_top_token
Ardsley and Robin Hood,borders,Ossett,Does Ardsley and Robin Hood border Ossett?,Yes,no_change
Ardsley and Robin Hood,borders,Ossett,Is Ardsley and Robin Hood within Ossett?,No,replace_top_token
Dearne North,borders,Sprotbrough and Cusworth,Does Dearne North border Sprotbrough and Cusworth?,Yes,no_change
Dearne North,borders,Sprotbrough and Cusworth,Is Dearne North within Sprotbrough and Cusworth?,No,replace_top_token
Graves Park,borders,Gleadless Valley,Does Graves Park border Gleadless Valley?,Yes,no_change
Graves Park,borders,Gleadless Valley,Is Graves Park within Gleadless Valley?,No,replace_top_token
Eastham,borders,Speke-Garston,Does Eastham border Speke-Garston?,Yes,no_change
Eastham,borders,Speke-Garston,Is Eastham within Speke-Garston?,No,replace_top_token
Halesowen South,borders,Belle Vale,Does Halesowen South border Belle Vale?,Yes,no_change
Halesowen South,borders,Belle Vale,Is Halesowen South within Belle Vale?,No,replace_top_token
Horwich and Blackrod,borders,Aspull New Springs Whelley,Does Horwich and Blackrod border Aspull New Springs Whelley?,Yes,no_change
Horwich and Blackrod,borders,Aspull New Springs Whelley,Is Horwich and Blackrod within Aspull New Springs Whelley?,No,replace_top_token
Cressington,borders,Allerton and Hunts Cross,Does Cressington border Allerton and Hunts Cross?,Yes,no_change
Cressington,borders,Allerton and Hunts Cross,Is Cressington within Allerton and Hunts Cross?,No,replace_top_token
Hollinwood,borders,Chadderton South,Does Hollinwood border Chadderton South?,Yes,no_change
Hollinwood,borders,Chadderton South,Is Hollinwood within Chadderton South?,No,replace_top_token
Sutton Vesey,borders,Kingstanding,Does Sutton Vesey border Kingstanding?,Yes,no_change
Sutton Vesey,borders,Kingstanding,Is Sutton Vesey within Kingstanding?,No,replace_top_token
Clubmoor,borders,Tuebrook and Stoneycroft,Does Clubmoor border Tuebrook and Stoneycroft?,Yes,no_change
Clubmoor,borders,Tuebrook and Stoneycroft,Is Clubmoor within Tuebrook and Stoneycroft?,No,replace_top_token
Longbridge,borders,Weoley,Does Longbridge border Weoley?,Yes,no_change
Longbridge,borders,Weoley,Is Longbridge within Weoley?,No,replace_top_token
Priory,borders,Chorlton Park,Does Priory border Chorlton Park?,Yes,no_change
Priory,borders,Chorlton Park,Is Priory within Chorlton Park?,No,replace_top_token
Sherbourne Warwickshire,borders,St. Michael's,Does Sherbourne Warwickshire border St. Michael's?,Yes,no_change
Sherbourne Warwickshire,borders,St. Michael's,Is Sherbourne Warwickshire within St. Michael's?,No,replace_top_token
Timperley,borders,Altrincham,Does Timperley border Altrincham?,Yes,no_change
Timperley,borders,Altrincham,Is Timperley within Altrincham?,No,replace_top_token
Higher Blackley,borders,Crumpsall,Does Higher Blackley border Crumpsall?,Yes,no_change
Higher Blackley,borders,Crumpsall,Is Higher Blackley within Crumpsall?,No,replace_top_token
Greetland and Stainland,borders,Ryburn,Does Greetland and Stainland border Ryburn?,Yes,no_change
Greetland and Stainland,borders,Ryburn,Is Greetland and Stainland within Ryburn?,No,replace_top_token
Dukinfield Stalybridge,borders,Dukinfield,Does Dukinfield Stalybridge border Dukinfield?,Yes,no_change
Dukinfield Stalybridge,borders,Dukinfield,Is Dukinfield Stalybridge within Dukinfield?,No,replace_top_token
Failsworth East,borders,Chadderton South,Does Failsworth East border Chadderton South?,Yes,no_change
Failsworth East,borders,Chadderton South,Is Failsworth East within Chadderton South?,No,replace_top_token
Didsbury East,borders,Didsbury West,Does Didsbury East border Didsbury West?,Yes,no_change
Didsbury East,borders,Didsbury West,Is Didsbury East within Didsbury West?,No,replace_top_token
Balderstone and Kirkholt,borders,Castleton,Does Balderstone and Kirkholt border Castleton?,Yes,no_change
Balderstone and Kirkholt,borders,Castleton,Is Balderstone and Kirkholt within Castleton?,No,replace_top_token
Farnley and Wortley,borders,Morley West Yorkshire,Does Farnley and Wortley border Morley West Yorkshire?,Yes,no_change
Farnley and Wortley,borders,Morley West Yorkshire,Is Farnley and Wortley within Morley West Yorkshire?,No,replace_top_token
Cleadon and East Boldon,borders,Southwick,Does Cleadon and East Boldon border Southwick?,Yes,no_change
Cleadon and East Boldon,borders,Southwick,Is Cleadon and East Boldon within Southwick?,No,replace_top_token
Balby South,borders,Hexthorpe & Balby North,Does Balby South border Hexthorpe & Balby North?,Yes,no_change
Balby South,borders,Hexthorpe & Balby North,Is Balby South within Hexthorpe & Balby North?,No,replace_top_token
St. James',borders,Saddleworth North,Does St. James' border Saddleworth North?,Yes,no_change
St. James',borders,Saddleworth North,Is St. James' within Saddleworth North?,No,replace_top_token
Monkton,borders,Fellgate and Hedworth,Does Monkton border Fellgate and Hedworth?,Yes,no_change
Monkton,borders,Fellgate and Hedworth,Is Monkton within Fellgate and Hedworth?,No,replace_top_token
Tong,borders,Bowling and Barkerend,Does Tong border Bowling and Barkerend?,Yes,no_change
Tong,borders,Bowling and Barkerend,Is Tong within Bowling and Barkerend?,No,replace_top_token
Kirkburton,borders,Denby Dale,Does Kirkburton border Denby Dale?,Yes,no_change
Kirkburton,borders,Denby Dale,Is Kirkburton within Denby Dale?,No,replace_top_token
Cadishead,borders,Irlam,Does Cadishead border Irlam?,Yes,no_change
Cadishead,borders,Irlam,Is Cadishead within Irlam?,No,replace_top_token
Wigan West,borders,Shevington with Lower Ground,Does Wigan West border Shevington with Lower Ground?,Yes,no_change
Wigan West,borders,Shevington with Lower Ground,Is Wigan West within Shevington with Lower Ground?,No,replace_top_token
Dukinfield,borders,Ashton St. Michael's,Does Dukinfield border Ashton St. Michael's?,Yes,no_change
Dukinfield,borders,Ashton St. Michael's,Is Dukinfield within Ashton St. Michael's?,No,replace_top_token
Gleadless Valley,borders,Graves Park,Does Gleadless Valley border Graves Park?,Yes,no_change
Gleadless Valley,borders,Graves Park,Is Gleadless Valley within Graves Park?,No,replace_top_token
West Bromwich Central,borders,Soho,Does West Bromwich Central border Soho?,Yes,no_change
West Bromwich Central,borders,Soho,Is West Bromwich Central within Soho?,No,replace_top_token
Ashton St. Michael's,borders,Dukinfield Stalybridge,Does Ashton St. Michael's border Dukinfield Stalybridge?,Yes,no_change
Ashton St. Michael's,borders,Dukinfield Stalybridge,Is Ashton St. Michael's within Dukinfield Stalybridge?,No,replace_top_token
Astley Mosley Common,borders,Boothstown and Ellenbrook,Does Astley Mosley Common border Boothstown and Ellenbrook?,Yes,no_change
Astley Mosley Common,borders,Boothstown and Ellenbrook,Is Astley Mosley Common within Boothstown and Ellenbrook?,No,replace_top_token
Preston,borders,Chirton,Does Preston border Chirton?,Yes,no_change
Preston,borders,Chirton,Is Preston within Chirton?,No,replace_top_token
Rainford,borders,Orrell,Does Rainford border Orrell?,Yes,no_change
Rainford,borders,Orrell,Is Rainford within Orrell?,No,replace_top_token
Standish with Langtree,borders,Wigan Central,Does Standish with Langtree border Wigan Central?,Yes,no_change
Standish with Langtree,borders,Wigan Central,Is Standish with Langtree within Wigan Central?,No,replace_top_token
Fellgate and Hedworth,borders,Castle Eden,Does Fellgate and Hedworth border Castle Eden?,Yes,no_change
Fellgate and Hedworth,borders,Castle Eden,Is Fellgate and Hedworth within Castle Eden?,No,replace_top_token
Moss Bank,borders,Haydock,Does Moss Bank border Haydock?,Yes,no_change
Moss Bank,borders,Haydock,Is Moss Bank within Haydock?,No,replace_top_token
Cradley Heath and Old Hill,borders,Belle Vale,Does Cradley Heath and Old Hill border Belle Vale?,Yes,no_change
Cradley Heath and Old Hill,borders,Belle Vale,Is Cradley Heath and Old Hill within Belle Vale?,No,replace_top_token
Lyndon,borders,Silhill,Does Lyndon border Silhill?,Yes,no_change
Lyndon,borders,Silhill,Is Lyndon within Silhill?,No,replace_top_token
Bordesley Green,borders,Nechells,Does Bordesley Green border Nechells?,Yes,no_change
Bordesley Green,borders,Nechells,Is Bordesley Green within Nechells?,No,replace_top_token
Wigan West,borders,Pemberton,Does Wigan West border Pemberton?,Yes,no_change
Wigan West,borders,Pemberton,Is Wigan West within Pemberton?,No,replace_top_token
Ossett,borders,Ardsley and Robin Hood,Does Ossett border Ardsley and Robin Hood?,Yes,no_change
Ossett,borders,Ardsley and Robin Hood,Is Ossett within Ardsley and Robin Hood?,No,replace_top_token
Bingley,borders,Keighley East,Does Bingley border Keighley East?,Yes,no_change
Bingley,borders,Keighley East,Is Bingley within Keighley East?,No,replace_top_token
Denton West,borders,Gorton South,Does Denton West border Gorton South?,Yes,no_change
Denton West,borders,Gorton South,Is Denton West within Gorton South?,No,replace_top_token
Greenbank,borders,Mossley Hill,Does Greenbank border Mossley Hill?,Yes,no_change
Greenbank,borders,Mossley Hill,Is Greenbank within Mossley Hill?,No,replace_top_token
Copt Hill,borders,St. Chad's,Does Copt Hill border St. Chad's?,Yes,no_change
Copt Hill,borders,St. Chad's,Is Copt Hill within St. Chad's?,No,replace_top_token
Smith's Wood,borders,Sutton New Hall,Does Smith's Wood border Sutton New Hall?,Yes,no_change
Smith's Wood,borders,Sutton New Hall,Is Smith's Wood within Sutton New Hall?,No,replace_top_token
Armthorpe,borders,Wheatley Hills & Intake,Does Armthorpe border Wheatley Hills & Intake?,Yes,no_change
Armthorpe,borders,Wheatley Hills & Intake,Is Armthorpe within Wheatley Hills & Intake?,No,replace_top_token
Anfield,borders,County,Does Anfield border County?,Yes,no_change
Anfield,borders,County,Is Anfield within County?,No,replace_top_token
Sedgley,borders,Blakenhall,Does Sedgley border Blakenhall?,Yes,no_change
Sedgley,borders,Blakenhall,Is Sedgley within Blakenhall?,No,replace_top_token
Levenshulme,borders,Withington,Does Levenshulme border Withington?,Yes,no_change
Levenshulme,borders,Withington,Is Levenshulme within Withington?,No,replace_top_token
Ainsdale,borders,Harington,Does Ainsdale border Harington?,Yes,no_change
Ainsdale,borders,Harington,Is Ainsdale within Harington?,No,replace_top_token
Moston,borders,Charlestown,Does Moston border Charlestown?,Yes,no_change
Moston,borders,Charlestown,Is Moston within Charlestown?,No,replace_top_token
Leigh South,borders,Leigh West,Does Leigh South border Leigh West?,Yes,no_change
Leigh South,borders,Leigh West,Is Leigh South within Leigh West?,No,replace_top_token
Rock Ferry,borders,Prenton,Does Rock Ferry border Prenton?,Yes,no_change
Rock Ferry,borders,Prenton,Is Rock Ferry within Prenton?,No,replace_top_token
Wheatley Hills & Intake,borders,Bessacarr,Does Wheatley Hills & Intake border Bessacarr?,Yes,no_change
Wheatley Hills & Intake,borders,Bessacarr,Is Wheatley Hills & Intake within Bessacarr?,No,replace_top_token
Conisbrough Parks,borders,Tickhill & Wadsworth,Does Conisbrough Parks border Tickhill & Wadsworth?,Yes,no_change
Conisbrough Parks,borders,Tickhill & Wadsworth,Is Conisbrough Parks within Tickhill & Wadsworth?,No,replace_top_token
Ilkley,borders,Wharfedale,Does Ilkley border Wharfedale?,Yes,no_change
Ilkley,borders,Wharfedale,Is Ilkley within Wharfedale?,No,replace_top_token
Aldridge North and Walsall Wood,borders,Rushall-Shelfield,Does Aldridge North and Walsall Wood border Rushall-Shelfield?,Yes,no_change
Aldridge North and Walsall Wood,borders,Rushall-Shelfield,Is Aldridge North and Walsall Wood within Rushall-Shelfield?,No,replace_top_token
West Derby,borders,Yew Tree,Does West Derby border Yew Tree?,Yes,no_change
West Derby,borders,Yew Tree,Is West Derby within Yew Tree?,No,replace_top_token
Kings Norton,borders,Brandwood,Does Kings Norton border Brandwood?,Yes,no_change
Kings Norton,borders,Brandwood,Is Kings Norton within Brandwood?,No,replace_top_token
Hebburn South,borders,Pelaw and Heworth,Does Hebburn South border Pelaw and Heworth?,Yes,no_change
Hebburn South,borders,Pelaw and Heworth,Is Hebburn South within Pelaw and Heworth?,No,replace_top_token
Blakenhall,borders,Penn,Does Blakenhall border Penn?,Yes,no_change
Blakenhall,borders,Penn,Is Blakenhall within Penn?,No,replace_top_token
Dewsbury South,borders,Ossett,Does Dewsbury South border Ossett?,Yes,no_change
Dewsbury South,borders,Ossett,Is Dewsbury South within Ossett?,No,replace_top_token
Clubmoor,borders,West Derby,Does Clubmoor border West Derby?,Yes,no_change
Clubmoor,borders,West Derby,Is Clubmoor within West Derby?,No,replace_top_token
St. Peter's,borders,Audenshaw,Does St. Peter's border Audenshaw?,Yes,no_change
St. Peter's,borders,Audenshaw,Is St. Peter's within Audenshaw?,No,replace_top_token
Town,borders,Wheatley Hills & Intake,Does Town border Wheatley Hills & Intake?,Yes,no_change
Town,borders,Wheatley Hills & Intake,Is Town within Wheatley Hills & Intake?,No,replace_top_token
Prescot,borders,Northwood,Does Prescot border Northwood?,Yes,no_change
Prescot,borders,Northwood,Is Prescot within Northwood?,No,replace_top_token
Wakefield East,borders,Stanley and Outwood East,Does Wakefield East border Stanley and Outwood East?,Yes,no_change
Wakefield East,borders,Stanley and Outwood East,Is Wakefield East within Stanley and Outwood East?,No,replace_top_token
Ryhope,borders,Silksworth,Does Ryhope border Silksworth?,Yes,no_change
Ryhope,borders,Silksworth,Is Ryhope within Silksworth?,No,replace_top_token
Dewsbury East,borders,Dewsbury South,Does Dewsbury East border Dewsbury South?,Yes,no_change
Dewsbury East,borders,Dewsbury South,Is Dewsbury East within Dewsbury South?,No,replace_top_token
Moseley and Kings Heath,borders,Bournville,Does Moseley and Kings Heath border Bournville?,Yes,no_change
Moseley and Kings Heath,borders,Bournville,Is Moseley and Kings Heath within Bournville?,No,replace_top_token
Alexandra,borders,Coldhurst,Does Alexandra border Coldhurst?,Yes,no_change
Alexandra,borders,Coldhurst,Is Alexandra within Coldhurst?,No,replace_top_token
Wingrove,borders,North Jesmond,Does Wingrove border North Jesmond?,Yes,no_change
Wingrove,borders,North Jesmond,Is Wingrove within North Jesmond?,No,replace_top_token
Droylsden East,borders,Droylsden West,Does Droylsden East border Droylsden West?,Yes,no_change
Droylsden East,borders,Droylsden West,Is Droylsden East within Droylsden West?,No,replace_top_token
Parklands,borders,Fawdon,Does Parklands border Fawdon?,Yes,no_change
Parklands,borders,Fawdon,Is Parklands within Fawdon?,No,replace_top_token
Leasowe and Moreton East,borders,Bidston and St. James,Does Leasowe and Moreton East border Bidston and St. James?,Yes,no_change
Leasowe and Moreton East,borders,Bidston and St. James,Is Leasowe and Moreton East within Bidston and St. James?,No,replace_top_token
Howdon,borders,Wallsend,Does Howdon border Wallsend?,Yes,no_change
Howdon,borders,Wallsend,Is Howdon within Wallsend?,No,replace_top_token
Short Heath,borders,Birchills Leamore,Does Short Heath border Birchills Leamore?,Yes,no_change
Short Heath,borders,Birchills Leamore,Is Short Heath within Birchills Leamore?,No,replace_top_token
Rawmarsh,borders,Rotherham West,Does Rawmarsh border Rotherham West?,Yes,no_change
Rawmarsh,borders,Rotherham West,Is Rawmarsh within Rotherham West?,No,replace_top_token
Priory,borders,Brooklands,Does Priory border Brooklands?,Yes,no_change
Priory,borders,Brooklands,Is Priory within Brooklands?,No,replace_top_token
Denby Dale,borders,Holme Valley,Does Denby Dale border Holme Valley?,Yes,no_change
Denby Dale,borders,Holme Valley,Is Denby Dale within Holme Valley?,No,replace_top_token
Dodworth,borders,Worsbrough,Does Dodworth border Worsbrough?,Yes,no_change
Dodworth,borders,Worsbrough,Is Dodworth within Worsbrough?,No,replace_top_token
Edlington & Warmsworth,borders,Tickhill & Wadsworth,Does Edlington & Warmsworth border Tickhill & Wadsworth?,Yes,no_change
Edlington & Warmsworth,borders,Tickhill & Wadsworth,Is Edlington & Warmsworth within Tickhill & Wadsworth?,No,replace_top_token
Hoyland Milton,borders,Wombwell,Does Hoyland Milton border Wombwell?,Yes,no_change
Hoyland Milton,borders,Wombwell,Is Hoyland Milton within Wombwell?,No,replace_top_token
Sutton Vesey,borders,Sutton Four Oaks,Does Sutton Vesey border Sutton Four Oaks?,Yes,no_change
Sutton Vesey,borders,Sutton Four Oaks,Is Sutton Vesey within Sutton Four Oaks?,No,replace_top_token
Westgate,borders,Dunston and Teams,Does Westgate border Dunston and Teams?,Yes,no_change
Westgate,borders,Dunston and Teams,Is Westgate within Dunston and Teams?,No,replace_top_token
Hillsborough,borders,Stannington,Does Hillsborough border Stannington?,Yes,no_change
Hillsborough,borders,Stannington,Is Hillsborough within Stannington?,No,replace_top_token
Sharston,borders,Heald Green,Does Sharston border Heald Green?,Yes,no_change
Sharston,borders,Heald Green,Is Sharston within Heald Green?,No,replace_top_token
City and Hunslet,borders,Kirkstall,Does City and Hunslet border Kirkstall?,Yes,no_change
City and Hunslet,borders,Kirkstall,Is City and Hunslet within Kirkstall?,No,replace_top_token
Waterhead,borders,Saddleworth North,Does Waterhead border Saddleworth North?,Yes,no_change
Waterhead,borders,Saddleworth North,Is Waterhead within Saddleworth North?,No,replace_top_token
Kirkdale,within,North West Euro Region,Is Kirkdale within North West Euro Region?,Yes,no_change
Kirkdale,within,North West Euro Region,Does Kirkdale border North West Euro Region?,No,replace_top_token
St. Michaels,within,Metropolitan Borough of Knowsley,Is St. Michaels within Metropolitan Borough of Knowsley?,Yes,no_change
St. Michaels,within,Metropolitan Borough of Knowsley,Does St. Michaels border Metropolitan Borough of Knowsley?,No,replace_top_token
Crumpsall,within,Manchester,Is Crumpsall within Manchester?,Yes,no_change
Crumpsall,within,Manchester,Does Crumpsall border Manchester?,No,replace_top_token
Pheasey Park Farm,within,West Midlands Euro Region,Is Pheasey Park Farm within West Midlands Euro Region?,Yes,no_change
Pheasey Park Farm,within,West Midlands Euro Region,Does Pheasey Park Farm border West Midlands Euro Region?,No,replace_top_token
Ettingshall,within,Wolverhampton,Is Ettingshall within Wolverhampton?,Yes,no_change
Ettingshall,within,Wolverhampton,Does Ettingshall border Wolverhampton?,No,replace_top_token
Tividale,within,West Midlands Euro Region,Is Tividale within West Midlands Euro Region?,Yes,no_change
Tividale,within,West Midlands Euro Region,Does Tividale border West Midlands Euro Region?,No,replace_top_token
Dodworth,within,Metropolitan Borough of Barnsley,Is Dodworth within Metropolitan Borough of Barnsley?,Yes,no_change
Dodworth,within,Metropolitan Borough of Barnsley,Does Dodworth border Metropolitan Borough of Barnsley?,No,replace_top_token
Dewsbury South,within,Kirklees,Is Dewsbury South within Kirklees?,Yes,no_change
Dewsbury South,within,Kirklees,Does Dewsbury South border Kirklees?,No,replace_top_token
Clubmoor,within,Liverpool,Is Clubmoor within Liverpool?,Yes,no_change
Clubmoor,within,Liverpool,Does Clubmoor border Liverpool?,No,replace_top_token
Timperley,within,Trafford,Is Timperley within Trafford?,Yes,no_change
Timperley,within,Trafford,Does Timperley border Trafford?,No,replace_top_token
Dewsbury South,within,Yorkshire and the Humber Euro Region,Is Dewsbury South within Yorkshire and the Humber Euro Region?,Yes,no_change
Dewsbury South,within,Yorkshire and the Humber Euro Region,Does Dewsbury South border Yorkshire and the Humber Euro Region?,No,replace_top_token
Wednesfield South,within,West Midlands Euro Region,Is Wednesfield South within West Midlands Euro Region?,Yes,no_change
Wednesfield South,within,West Midlands Euro Region,Does Wednesfield South border West Midlands Euro Region?,No,replace_top_token
Wigan West,within,Metropolitan Borough of Wigan,Is Wigan West within Metropolitan Borough of Wigan?,Yes,no_change
Wigan West,within,Metropolitan Borough of Wigan,Does Wigan West border Metropolitan Borough of Wigan?,No,replace_top_token
