question,options,answer,option_sources,concept,top,dis,dir
Which city borders Chadderton Central and is also close to Hyde Godley?,"A. Crumpsall
B. Billinge and Seneley Green
C. Coldhurst",C. Coldhurst,"partial,random,correct",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also distant to Kippax West Yorkshire?,"A. Washington West
B. Marple North
C. Town",C. Town,"random,partial,correct",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also far to Wavertree?,"A. Wakefield West
B. Town
C. Failsworth East",B. Town,"random,correct,partial",2,1,1,0
Which city borders Hipperholme and Lightcliffe and is also near to Wheatley Hills & Intake?,"A. Town
B. Boldon Colliery
C. Roman Ridge",A. Town,"correct,random,partial",2,1,1,0
Which city borders Hipperholme and Lightcliffe and is also close to Valley?,"A. Swanside
B. Chopwell and Rowlands Gill
C. Town",C. Town,"random,partial,correct",2,1,1,0
Which city is within West Midlands Euro Region and also distant to Radford?,"A. Lye and Stourbridge North
B. Metropolitan Borough of Walsall
C. Hayley Green and Cradley South",A. Lye and Stourbridge North,"correct,random,partial",2,1,1,0
Which city is within West Midlands Euro Region and also far to Unsworth?,"A. Lye and Stourbridge North
B. Wharfedale
C. Newburn",A. Lye and Stourbridge North,"correct,random,partial",2,1,1,0
Which city borders Amblecote and is also near to Quarry Bank and Dudley Wood?,"A. Kingswinford South
B. Lye and Stourbridge North
C. Droylsden West",B. Lye and Stourbridge North,"partial,correct,random",2,1,1,0
Which city borders Amblecote and is also close to Oscott?,"A. Lye and Stourbridge North
B. Little Hulton
C. Blakenhall",A. Lye and Stourbridge North,"correct,random,partial",2,1,1,0
Which city is within North East Euro Region and also distant to Winlaton and High Spen?,"A. Cleadon and East Boldon
B. Monkseaton South
C. Harton",A. Cleadon and East Boldon,"correct,random,partial",2,1,1,0
Which city is within North East Euro Region and also far to Elton?,"A. Bede
B. Low Fell
C. Cleadon and East Boldon",C. Cleadon and East Boldon,"partial,random,correct",2,1,1,0
Which city borders Whiteleas and is also near to St. Peter's?,"A. South Tyneside
B. Millfield
C. Cleadon and East Boldon",C. Cleadon and East Boldon,"random,partial,correct",2,1,1,0
Which city borders Whiteleas and is also close to Killingworth?,"A. Deckham
B. Cleadon and East Boldon
C. Woodhouse Park",B. Cleadon and East Boldon,"partial,correct,random",2,1,1,0
Which city is within Metropolitan Borough of Wirral and also distant to Tyldesley?,"A. Burnage
B. Dewsbury West
C. Prenton",C. Prenton,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Wirral and also far to Stockland Green?,"A. Flixton
B. Prenton
C. North Manor",B. Prenton,"random,correct,partial",2,1,1,0
Which city borders Clatterbridge and is also near to Rock Ferry?,"A. Prenton
B. City
C. Kensington and Fairfield",A. Prenton,"correct,random,partial",2,1,1,0
Which city borders Clatterbridge and is also close to Halewood?,"A. Prenton
B. Seacombe
C. Sherbourne Warwickshire",A. Prenton,"correct,partial,random",2,1,1,0
Which city is within North West Euro Region and also distant to Gleadless Valley?,"A. City and Hunslet
B. Castleton
C. Fazakerley",B. Castleton,"random,correct,partial",2,1,1,0
Which city is within North West Euro Region and also far to Primrose?,"A. Castleton
B. Bilston North
C. Allerton and Hunts Cross",A. Castleton,"correct,random,partial",2,1,1,0
Which city borders Bamford and is also near to West Heywood?,"A. Castleton
B. St. Mary's
C. East",A. Castleton,"correct,partial,random",2,1,1,0
Which city borders Bamford and is also close to Heatons South?,"A. North Heaton
B. Chadderton South
C. Castleton",C. Castleton,"random,partial,correct",2,1,1,0
Which city borders Walker and is also near to Riverside?,"A. Pelaw and Heworth
B. South Jesmond
C. Linacre",A. Pelaw and Heworth,"correct,random,partial",2,1,1,0
Which city borders Walker and is also close to St. Michael's?,"A. Pelaw and Heworth
B. County
C. Cambridge",A. Pelaw and Heworth,"correct,partial,random",2,1,1,0
Which city is within North West Euro Region and also distant to Dore & Totley?,"A. Timperley
B. Droylsden West
C. Denton West",C. Denton West,"random,partial,correct",2,1,1,0
Which city is within North West Euro Region and also far to Mexborough?,"A. Bidston and St. James
B. Barnes
C. Denton West",C. Denton West,"random,partial,correct",2,1,1,0
Which city borders Brinnington and Central and is also near to Heatons North?,"A. Dene
B. Denton West
C. Bredbury and Woodley",B. Denton West,"random,correct,partial",2,1,1,0
Which city borders Brinnington and Central and is also close to South Middleton?,"A. Denton West
B. Eccles
C. Haydock",A. Denton West,"correct,partial,random",2,1,1,0
Which city is within North West Euro Region and also distant to Mossley Hill?,"A. Moss Side
B. Davyhulme East
C. Hodge Hill",A. Moss Side,"correct,partial,random",2,1,1,0
Which city is within North West Euro Region and also far to Riverside?,"A. Calderdale
B. Moss Side
C. Claughton",B. Moss Side,"random,correct,partial",2,1,1,0
Which city borders Rusholme and is also near to Withington?,"A. Moss Side
B. Elland
C. Bradford",A. Moss Side,"correct,random,partial",2,1,1,0
Which city borders Rusholme and is also close to Offerton Park?,"A. Olton
B. Woodhouse Park
C. Moss Side",C. Moss Side,"random,partial,correct",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also distant to Hillsborough?,"A. Heatons North
B. Norton & Askern
C. Craven",C. Craven,"random,partial,correct",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also far to Wheatley Hills & Intake?,"A. Craven
B. Bilston North
C. Hyde Park and Woodhouse",A. Craven,"correct,random,partial",2,1,1,0
Which city borders Keighley and is also near to Ilkley?,"A. Wainbody
B. Keighley East
C. Craven",C. Craven,"random,partial,correct",2,1,1,0
Which city borders Keighley and is also close to Royds?,"A. Chapel Allerton
B. Mossley
C. Craven",C. Craven,"partial,random,correct",2,1,1,0
Which city is within North West Euro Region and also distant to Radcliffe West?,"A. Netherton and Orrell
B. Derby
C. Hoylake and Meols",A. Netherton and Orrell,"correct,partial,random",2,1,1,0
Which city is within North West Euro Region and also far to Reddish North?,"A. Netherton and Orrell
B. Heath Town
C. Kearsley",A. Netherton and Orrell,"correct,random,partial",2,1,1,0
Which city borders Park and is also near to Warbreck?,"A. Riverside
B. Netherton and Orrell
C. Darnall",B. Netherton and Orrell,"partial,correct,random",2,1,1,0
Which city borders Park and is also close to St. Michael's?,"A. Sheffield
B. Horsley Hill
C. Netherton and Orrell",C. Netherton and Orrell,"random,partial,correct",2,1,1,0
Which city is within North West Euro Region and also distant to Winton?,"A. Ashton Hurst
B. Atherleigh
C. Pallion",A. Ashton Hurst,"correct,partial,random",2,1,1,0
Which city is within North West Euro Region and also far to County?,"A. Boston Castle
B. Ashton Hurst
C. Luddendenfoot",B. Ashton Hurst,"partial,correct,random",2,1,1,0
Which city borders St. Peter's and is also near to St. Mary's?,"A. Cheadle Hulme North
B. Ashton Hurst
C. Radcliffe West",B. Ashton Hurst,"random,correct,partial",2,1,1,0
Which city borders St. Peter's and is also close to Chorlton Park?,"A. Whalley Range
B. Ashton Hurst
C. Bramhall North",B. Ashton Hurst,"random,correct,partial",2,1,1,0
Which city is within Birmingham and also distant to Sherbourne Warwickshire?,"A. Selly Oak
B. Friar Park
C. Metropolitan Borough of Rotherham",A. Selly Oak,"correct,partial,random",2,1,1,0
Which city is within Birmingham and also far to Weetslade?,"A. Westhoughton North and Chew Moor
B. Selly Oak
C. Urmston",B. Selly Oak,"random,correct,partial",2,1,1,0
Which city borders Moseley and Kings Heath and is also near to Soho and Victoria?,"A. Fulwood
B. Langley
C. Selly Oak",C. Selly Oak,"random,partial,correct",2,1,1,0
Which city borders Moseley and Kings Heath and is also close to Wednesfield South?,"A. Calverley and Farsley
B. Selly Oak
C. Quinton",B. Selly Oak,"random,correct,partial",2,1,1,0
Which city borders St. Chad's and is also near to Washington Central?,"A. Shiney Row
B. Priory
C. Doxford",A. Shiney Row,"correct,random,partial",2,1,1,0
Which city borders St. Chad's and is also close to Whickham South and Sunniside?,"A. Princes End
B. Birtley
C. Shiney Row",C. Shiney Row,"random,partial,correct",2,1,1,0
Which city is within North West Euro Region and also distant to Rotherham West?,"A. Coseley East
B. Chadderton Central
C. Davyhulme West",B. Chadderton Central,"random,correct,partial",2,1,1,0
Which city is within North West Euro Region and also far to Bickenhill?,"A. Ashton
B. Chadderton Central
C. Reddish North",B. Chadderton Central,"partial,correct,random",2,1,1,0
Which city borders Charlestown and is also near to South Middleton?,"A. Royton North
B. Chadderton Central
C. Wallasey",B. Chadderton Central,"partial,correct,random",2,1,1,0
Which city borders Charlestown and is also close to Old Moat?,"A. Cheadle Hulme South
B. Chadderton South
C. Chadderton Central",C. Chadderton Central,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Wigan and also distant to Urmston?,"A. Earlsdon
B. Golborne and Lowton West
C. Standish with Langtree",C. Standish with Langtree,"random,partial,correct",2,1,1,0
Which city is within Metropolitan Borough of Wigan and also far to Smith's Wood?,"A. Standish with Langtree
B. Blakenhall
C. St. Michaels",A. Standish with Langtree,"correct,random,partial",2,1,1,0
Which city borders Aspull New Springs Whelley and is also near to Winstanley?,"A. Haydock
B. Standish with Langtree
C. Leigh South",B. Standish with Langtree,"partial,correct,random",2,1,1,0
Which city borders Aspull New Springs Whelley and is also close to Windle St Helens?,"A. Everton
B. Tonge with the Haulgh
C. Standish with Langtree",C. Standish with Langtree,"partial,random,correct",2,1,1,0
Which city is within West Midlands Euro Region and also distant to Wyken?,"A. City
B. Ettingshall
C. Sheldon",C. Sheldon,"random,partial,correct",2,1,1,0
Which city is within West Midlands Euro Region and also far to Rainford?,"A. Edlington & Warmsworth
B. Sheldon
C. St. Chad's",B. Sheldon,"partial,correct,random",2,1,1,0
Which city borders Stechford and Yardley North and is also near to Washwood Heath?,"A. Doxey
B. Sheldon
C. Shard End",B. Sheldon,"random,correct,partial",2,1,1,0
Which city borders Stechford and Yardley North and is also close to Sutton Trinity?,"A. Chirton
B. Princes End
C. Sheldon",C. Sheldon,"random,partial,correct",2,1,1,0
Which city is within West Midlands Euro Region and also distant to St. Alphege?,"A. Blakenhall
B. Pheasey Park Farm
C. Anston and Woodsetts",A. Blakenhall,"correct,partial,random",2,1,1,0
Which city is within West Midlands Euro Region and also far to Miles Platting and Newton Heath?,"A. Blakenhall
B. Pedmore and Stourbridge East
C. Wakefield Rural",A. Blakenhall,"correct,partial,random",2,1,1,0
Which city borders St. Peter's and is also near to Brockmoor and Pensnett?,"A. East Park
B. Blakenhall
C. Darton East",B. Blakenhall,"partial,correct,random",2,1,1,0
Which city borders St. Peter's and is also close to Charlemont with Grove Vale?,"A. North Heywood
B. Billesley
C. Blakenhall",C. Blakenhall,"random,partial,correct",2,1,1,0
Which city is within West Midlands Euro Region and also distant to Upper Stoke?,"A. Old Warley
B. Radford
C. Lozells and East Handsworth",C. Lozells and East Handsworth,"random,partial,correct",2,1,1,0
Which city is within West Midlands Euro Region and also far to Washington East?,"A. Lozells and East Handsworth
B. Valley
C. Airedale and Ferry Fryston",A. Lozells and East Handsworth,"correct,partial,random",2,1,1,0
Which city borders Soho and is also near to St. Pauls?,"A. Olton
B. Lozells and East Handsworth
C. Friar Park",B. Lozells and East Handsworth,"random,correct,partial",2,1,1,0
Which city borders Soho and is also close to Sutton Trinity?,"A. Failsworth East
B. Lozells and East Handsworth
C. Bloxwich East",B. Lozells and East Handsworth,"random,correct,partial",2,1,1,0
Which city is within Metropolitan Borough of Wirral and also distant to Swinton South?,"A. Knotty Ash
B. Croxteth
C. New Brighton",C. New Brighton,"random,partial,correct",2,1,1,0
Which city is within Metropolitan Borough of Wirral and also far to North Jesmond?,"A. New Brighton
B. Horbury and South Ossett
C. Sharston",A. New Brighton,"correct,partial,random",2,1,1,0
Which city borders Kirkdale and is also near to Rock Ferry?,"A. Bamford
B. New Brighton
C. Birkenhead and Tranmere",B. New Brighton,"random,correct,partial",2,1,1,0
Which city borders Kirkdale and is also close to Tuebrook and Stoneycroft?,"A. Dearne North
B. Bidston and St. James
C. New Brighton",C. New Brighton,"random,partial,correct",2,1,1,0
Which city is within Calderdale and also distant to Mossley?,"A. Ovenden
B. Saddleworth North
C. Farnley and Wortley",A. Ovenden,"correct,random,partial",2,1,1,0
Which city is within Calderdale and also far to Wigan West?,"A. Soho
B. Hexthorpe & Balby North
C. Ovenden",C. Ovenden,"random,partial,correct",2,1,1,0
Which city borders Illingworth and Mixenden and is also near to Park?,"A. Ettingshall
B. Harpurhey
C. Ovenden",C. Ovenden,"partial,random,correct",2,1,1,0
Which city borders Illingworth and Mixenden and is also close to Wharfedale?,"A. Ovenden
B. Dearne South
C. Thornton and Allerton",A. Ovenden,"correct,random,partial",2,1,1,0
Which city is within Metropolitan Borough of Stockport and also distant to Craven?,"A. Bucklow-St. Martins
B. Bredbury Green and Romiley
C. Knottingley",B. Bredbury Green and Romiley,"partial,correct,random",2,1,1,0
Which city is within Metropolitan Borough of Stockport and also far to St. Michael's?,"A. Bredbury Green and Romiley
B. East Middleton
C. Rainhill",A. Bredbury Green and Romiley,"correct,partial,random",2,1,1,0
Which city borders Bredbury and Woodley and is also near to Heatons South?,"A. Gorton South
B. Elland
C. Bredbury Green and Romiley",C. Bredbury Green and Romiley,"partial,random,correct",2,1,1,0
Which city borders Bredbury and Woodley and is also close to Higher Blackley?,"A. Boothstown and Ellenbrook
B. Simonside and Rekendyke
C. Bredbury Green and Romiley",C. Bredbury Green and Romiley,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Knowsley and also distant to Westhoughton?,"A. St. Michaels
B. Abbey
C. Balderstone and Kirkholt",A. St. Michaels,"correct,random,partial",2,1,1,0
Which city is within Metropolitan Borough of Knowsley and also far to Wyke?,"A. Benwell and Scotswood
B. City Centre
C. St. Michaels",C. St. Michaels,"partial,random,correct",2,1,1,0
Which city borders Whiston & Cronton and is also near to Halewood?,"A. St. Michaels
B. Crosland Moor and Netherton
C. Halewood North",A. St. Michaels,"correct,random,partial",2,1,1,0
Which city borders Whiston & Cronton and is also close to Sudell?,"A. St. Oswald
B. Greasby Frankby and Irby
C. St. Michaels",C. St. Michaels,"random,partial,correct",2,1,1,0
Which city is within Metropolitan Borough of Dudley and also distant to Tuebrook and Stoneycroft?,"A. Halewood North
B. Heald Green
C. Sedgley",C. Sedgley,"random,partial,correct",2,1,1,0
Which city is within Metropolitan Borough of Dudley and also far to Wyke?,"A. Fawdon
B. Sedgley
C. Burmantofts and Richmond Hill",B. Sedgley,"partial,correct,random",2,1,1,0
Which city borders Spring Vale and is also near to Tettenhall Wightwick?,"A. Park
B. Coldhurst
C. Sedgley",C. Sedgley,"partial,random,correct",2,1,1,0
Which city borders Spring Vale and is also close to Smethwick?,"A. Sedgley
B. Birchills Leamore
C. Middleton Park",A. Sedgley,"correct,partial,random",2,1,1,0
Which city borders Wingrove and is also near to Lamesley?,"A. Felling
B. Westgate
C. Bidston and St. James",B. Westgate,"partial,correct,random",2,1,1,0
Which city borders Wingrove and is also close to Castle Eden?,"A. Swanside
B. Westgate
C. South Heaton",B. Westgate,"random,correct,partial",2,1,1,0
Which city is within Metropolitan Borough of Dudley and also distant to Foleshill?,"A. Moorside
B. Coseley East
C. St. Thomas's",B. Coseley East,"random,correct,partial",2,1,1,0
Which city is within Metropolitan Borough of Dudley and also far to Wibsey?,"A. St. Mary's
B. Coseley East
C. Barton",B. Coseley East,"partial,correct,random",2,1,1,0
Which city borders Sedgley and is also near to East Park?,"A. Coseley East
B. Victoria
C. Castle and Priory",A. Coseley East,"correct,random,partial",2,1,1,0
Which city borders Sedgley and is also close to Rushall-Shelfield?,"A. Coseley East
B. Kingstanding
C. Ashbrow",A. Coseley East,"correct,partial,random",2,1,1,0
Which city is within Liverpool and also distant to Walkden South?,"A. Riverside
B. Town
C. Earlsdon",A. Riverside,"correct,partial,random",2,1,1,0
Which city is within Liverpool and also far to Stainforth & Barnby Dun?,"A. Riverside
B. Coseley East
C. Barton",A. Riverside,"correct,partial,random",2,1,1,0
Which city borders Chirton and is also near to Rock Ferry?,"A. New Brighton
B. Norris Green
C. Riverside",C. Riverside,"partial,random,correct",2,1,1,0
Which city borders Chirton and is also close to West Derby?,"A. Riverside
B. Sandwell
C. Birkdale",A. Riverside,"correct,random,partial",2,1,1,0
Which city is within Metropolitan Borough of Sefton and also distant to Rock Ferry?,"A. Norwood
B. City of Sunderland
C. Hulton",A. Norwood,"correct,random,partial",2,1,1,0
Which city is within Metropolitan Borough of Sefton and also far to Orgreave South Yorkshire?,"A. Norwood
B. Cheadle Hulme South
C. Lowton East",A. Norwood,"correct,random,partial",2,1,1,0
Which city is within Manchester and also distant to Sowerby Bridge?,"A. Baguley
B. Lemington
C. Morley South",A. Baguley,"correct,random,partial",2,1,1,0
Which city is within Manchester and also far to Sheldon?,"A. Greenhead
B. Dewsbury South
C. Baguley",C. Baguley,"random,partial,correct",2,1,1,0
Which city borders Northenden and is also near to St. Mary's?,"A. Hyde Newton
B. Baguley
C. Monkseaton North",B. Baguley,"random,correct,partial",2,1,1,0
Which city borders Northenden and is also close to Droylsden East?,"A. Baguley
B. Hexthorpe & Balby North
C. Chadderton North",A. Baguley,"correct,random,partial",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also distant to Great Lever?,"A. Dewsbury South
B. Swinton South
C. Clayton and Fairweather Green",C. Clayton and Fairweather Green,"partial,random,correct",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also far to Fallings Park?,"A. Seacombe
B. Clayton and Fairweather Green
C. Duke's",B. Clayton and Fairweather Green,"random,correct,partial",2,1,1,0
Which city borders Great Horton and is also near to Shipley?,"A. Woodlands
B. Idle and Thackley
C. Clayton and Fairweather Green",C. Clayton and Fairweather Green,"random,partial,correct",2,1,1,0
Which city borders Great Horton and is also close to Littleborough Lakeside?,"A. Church
B. Clayton and Fairweather Green
C. Brockmoor and Pensnett",B. Clayton and Fairweather Green,"partial,correct,random",2,1,1,0
Which city is within Metropolitan Borough of Bury and also distant to Shevington with Lower Ground?,"A. Adel and Wharfedale
B. Radcliffe West
C. Seacombe",B. Radcliffe West,"random,correct,partial",2,1,1,0
Which city is within Metropolitan Borough of Bury and also far to Ryton Crookhill and Stella?,"A. Radcliffe West
B. Victoria
C. Crompton",A. Radcliffe West,"correct,random,partial",2,1,1,0
Which city borders Radcliffe North and is also near to Sedgley?,"A. Radcliffe West
B. Worsley
C. City Centre",A. Radcliffe West,"correct,random,partial",2,1,1,0
Which city borders Radcliffe North and is also close to Stretford?,"A. Knotty Ash
B. Hyde Werneth
C. Radcliffe West",C. Radcliffe West,"random,partial,correct",2,1,1,0
Which city is within Metropolitan Borough of Wirral and also distant to Wigan West?,"A. Rusholme
B. West Heywood
C. West Kirby and Thurstaston",C. West Kirby and Thurstaston,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Wirral and also far to Doxey?,"A. Dene
B. West Kirby and Thurstaston
C. Chorlton Park",B. West Kirby and Thurstaston,"partial,correct,random",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also distant to Royston?,"A. Droylsden East
B. Little Horton
C. Woolsington",B. Little Horton,"partial,correct,random",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also far to Woolsington?,"A. Tonge with the Haulgh
B. Little Horton
C. Droylsden West",B. Little Horton,"random,correct,partial",2,1,1,0
Which city borders Great Horton and is also near to Wibsey?,"A. Brighouse
B. Little Horton
C. Dene",B. Little Horton,"partial,correct,random",2,1,1,0
Which city borders Great Horton and is also close to Holme Valley?,"A. Waterhead
B. Ashbrow
C. Little Horton",C. Little Horton,"partial,random,correct",2,1,1,0
Which city is within Liverpool and also distant to Redvales?,"A. Woolton
B. Clubmoor
C. Cressington",B. Clubmoor,"partial,correct,random",2,1,1,0
Which city is within Liverpool and also far to Moortown?,"A. Clubmoor
B. Bryn
C. Broughton",A. Clubmoor,"correct,random,partial",2,1,1,0
Which city borders West Derby and is also near to Yew Tree?,"A. Clubmoor
B. Allerton and Hunts Cross
C. Town Centre",A. Clubmoor,"correct,partial,random",2,1,1,0
Which city borders West Derby and is also close to Norwood?,"A. Clubmoor
B. Dene
C. Derby",A. Clubmoor,"correct,random,partial",2,1,1,0
Which city is within Metropolitan Borough of Rochdale and also distant to Yew Tree?,"A. Bamford
B. West Heywood
C. Southey",B. West Heywood,"partial,correct,random",2,1,1,0
Which city is within Metropolitan Borough of Rochdale and also far to Conisbrough Parks?,"A. West Heywood
B. Northfield
C. Monkton",A. West Heywood,"correct,random,partial",2,1,1,0
Which city borders North Heywood and is also near to West Middleton?,"A. Moss Bank
B. West Heywood
C. Unsworth",B. West Heywood,"random,correct,partial",2,1,1,0
Which city borders North Heywood and is also close to Winton?,"A. Tettenhall Wightwick
B. West Heywood
C. Chadderton South",B. West Heywood,"random,correct,partial",2,1,1,0
Which city borders Chirton and is also near to Wardley and Leam Lane?,"A. Westoe
B. Chowdene
C. Howdon",C. Howdon,"random,partial,correct",2,1,1,0
Which city borders Chirton and is also close to St. Chad's?,"A. Horsley Hill
B. Blaydon
C. Howdon",C. Howdon,"partial,random,correct",2,1,1,0
Which city is within Liverpool and also distant to Astley Village?,"A. Hindley
B. Tong
C. Yew Tree",C. Yew Tree,"random,partial,correct",2,1,1,0
Which city is within Liverpool and also far to Castle Eden?,"A. Yew Tree
B. Old Swan
C. Priory",A. Yew Tree,"correct,partial,random",2,1,1,0
Which city borders Croxteth and is also near to Picton Cheshire?,"A. Croxteth
B. Bowling and Barkerend
C. Yew Tree",C. Yew Tree,"partial,random,correct",2,1,1,0
Which city borders Croxteth and is also close to Halewood?,"A. Offerton Park
B. Yew Tree
C. Molyneux",B. Yew Tree,"random,correct,partial",2,1,1,0
Which city is within North West Euro Region and also distant to Blackrod?,"A. Norden
B. Aspull New Springs Whelley
C. Fulwell",A. Norden,"correct,partial,random",2,1,1,0
Which city is within North West Euro Region and also far to Stainforth & Barnby Dun?,"A. Smethwick
B. Norden
C. St. Oswald",B. Norden,"partial,correct,random",2,1,1,0
Which city borders North Heywood and is also near to Ramsbottom?,"A. Norden
B. Church
C. Town Centre",A. Norden,"correct,partial,random",2,1,1,0
Which city borders North Heywood and is also close to Northenden?,"A. East
B. Greenhead
C. Norden",C. Norden,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Dudley and also distant to Sherbourne Warwickshire?,"A. Wollaston and Stourbridge Town
B. Lyndon
C. Upper Gornal and Woodsetton",C. Upper Gornal and Woodsetton,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Dudley and also far to Maltby South Yorkshire?,"A. Upper Gornal and Woodsetton
B. Darlaston South
C. St. Chad's",A. Upper Gornal and Woodsetton,"correct,random,partial",2,1,1,0
Which city borders Sedgley and is also near to Wednesbury North?,"A. Palfrey
B. Upper Gornal and Woodsetton
C. Wigan West",B. Upper Gornal and Woodsetton,"partial,correct,random",2,1,1,0
Which city borders Sedgley and is also close to Doxey?,"A. Brockmoor and Pensnett
B. Halewood North
C. Upper Gornal and Woodsetton",C. Upper Gornal and Woodsetton,"partial,random,correct",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also distant to Thornton and Allerton?,"A. Royston
B. Hexthorpe & Balby North
C. Great Horton",B. Hexthorpe & Balby North,"random,correct,partial",2,1,1,0
Which city is within Yorkshire and the Humber Euro Region and also far to Astley Village?,"A. Warley
B. Tyburn
C. Hexthorpe & Balby North",C. Hexthorpe & Balby North,"partial,random,correct",2,1,1,0
Which city borders Edlington & Warmsworth and is also near to Armthorpe?,"A. Conisbrough Parks
B. Hexthorpe & Balby North
C. Wednesfield North",B. Hexthorpe & Balby North,"partial,correct,random",2,1,1,0
Which city borders Edlington & Warmsworth and is also close to Mosborough?,"A. Hexthorpe & Balby North
B. Fulwood
C. Woolton",A. Hexthorpe & Balby North,"correct,partial,random",2,1,1,0
Which city is within Metropolitan Borough of Wigan and also distant to Picton Cheshire?,"A. Toller
B. Winstanley
C. Eccles",B. Winstanley,"random,correct,partial",2,1,1,0
Which city is within Metropolitan Borough of Wigan and also far to Wickersley?,"A. Winstanley
B. Gleadless Valley
C. City Centre",A. Winstanley,"correct,random,partial",2,1,1,0
Which city borders Douglas and is also near to Rainford?,"A. Winstanley
B. Bryn
C. Fazakerley",A. Winstanley,"correct,partial,random",2,1,1,0
Which city borders Douglas and is also close to Rainhill?,"A. Leigh East
B. Eccleshill
C. Winstanley",C. Winstanley,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Solihull and also distant to Sedgley?,"A. Knowle
B. Riverside
C. Olton",C. Olton,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Solihull and also far to Tickhill & Wadsworth?,"A. Olton
B. Bromborough
C. Kensington and Fairfield",A. Olton,"correct,partial,random",2,1,1,0
Which city borders Shirley East and is also near to Washwood Heath?,"A. St. Thomas's
B. Lyndon
C. Olton",C. Olton,"random,partial,correct",2,1,1,0
Which city borders Shirley East and is also close to Palfrey?,"A. Norton
B. Dunston Hill and Whickham East
C. Olton",C. Olton,"partial,random,correct",2,1,1,0
Which city is within North West Euro Region and also distant to Spotland and Falinge?,"A. Allerton and Hunts Cross
B. Knotty Ash
C. Heatons North",B. Knotty Ash,"random,correct,partial",2,1,1,0
Which city is within North West Euro Region and also far to Sutton Trinity?,"A. Knotty Ash
B. Longford
C. Bromborough",A. Knotty Ash,"correct,partial,random",2,1,1,0
Which city borders Old Swan and is also near to Yew Tree?,"A. Hall Green
B. Allerton and Hunts Cross
C. Knotty Ash",C. Knotty Ash,"random,partial,correct",2,1,1,0
Which city borders Old Swan and is also close to Halewood?,"A. Seacombe
B. Wyke
C. Knotty Ash",C. Knotty Ash,"partial,random,correct",2,1,1,0
Which city borders Fellgate and Hedworth and is also near to Redhill?,"A. Hebburn South
B. Nether Edge & Sharrow
C. Primrose",C. Primrose,"partial,random,correct",2,1,1,0
Which city borders Fellgate and Hedworth and is also close to Lamesley?,"A. Newburn
B. Primrose
C. South Yardley",B. Primrose,"partial,correct,random",2,1,1,0
Which city borders North Heaton and is also near to Walkergate?,"A. Walker
B. Oldbury
C. Northumberland",C. Northumberland,"partial,random,correct",2,1,1,0
Which city borders North Heaton and is also close to Whiteleas?,"A. Weetslade
B. Reddish North
C. Northumberland",C. Northumberland,"partial,random,correct",2,1,1,0
Which city is within Metropolitan Borough of Rochdale and also distant to Whitefield?,"A. Smithills
B. North Heywood
C. Walkden South",B. North Heywood,"random,correct,partial",2,1,1,0
Which city is within Metropolitan Borough of Rochdale and also far to Oscott?,"A. Besses
B. North Heywood
C. Bingley Rural",B. North Heywood,"random,correct,partial",2,1,1,0
Which city borders Norden and is also near to West Middleton?,"A. Hopwood Hall
B. Ladywood
C. North Heywood",C. North Heywood,"partial,random,correct",2,1,1,0
Which city borders Norden and is also close to Saddleworth North?,"A. Kirkstall
B. North Heywood
C. Dukinfield Stalybridge",B. North Heywood,"random,correct,partial",2,1,1,0
Which city is within North West Euro Region and also distant to Knotty Ash?,"A. Healey
B. Kensington and Fairfield
C. Netherton Woodside and St. Andrews",A. Healey,"correct,partial,random",2,1,1,0
Which city is within North West Euro Region and also far to Longbridge?,"A. Church
B. Calder
C. Healey",C. Healey,"random,partial,correct",2,1,1,0
Which city borders Wardle and West Littleborough and is also near to North Heywood?,"A. Littleborough Lakeside
B. Healey
C. Medlock Vale",B. Healey,"partial,correct,random",2,1,1,0
Which city borders Wardle and West Littleborough and is also close to Longsight?,"A. Eccles
B. Healey
C. Bloxwich West",B. Healey,"partial,correct,random",2,1,1,0
Which city is within North Tyneside and also distant to Lemington?,"A. Cullercoats
B. Keighley
C. Benton",A. Cullercoats,"correct,random,partial",2,1,1,0
Which city is within North Tyneside and also far to Shirley West?,"A. Cullercoats
B. Holderness
C. Ouseburn",A. Cullercoats,"correct,random,partial",2,1,1,0
Which city borders Tynemouth and is also near to Valley?,"A. Cullercoats
B. Olton
C. Dene",A. Cullercoats,"correct,random,partial",2,1,1,0
