place1,relation,place2,triplet,question,options,answer,option_sources
Bilston East,near,Wednesbury North,Bilston East is near Wednesbury North,Which city is near to Wednesbury North?,"A. Bilston East
B. Great Barr with Yew Tree
C. Sprotbrough and Cusworth",A. Bilston East,"correct,hard,random"
Penistone East,near,Worsbrough,Penistone East is near Worsbrough,Which city is near to Worsbrough?,"A. Hoober
B. Penistone East
C. St. Anne's",B. Penistone East,"hard,correct,random"
Bingley Rural,near,Baildon,Bingley Rural is near Baildon,Which city is near to Baildon?,"A. Bingley Rural
B. Pensby and Thingwall
C. Cheetham",A. Bingley Rural,"correct,random,hard"
Besses,near,Radcliffe East,Besses is near Radcliffe East,Which city is near to Radcliffe East?,"A. Besses
B. Waterhead
C. Pheasey Park Farm",A. Besses,"correct,random,hard"
Eccles,near,Irwell Riverside,Eccles is near Irwell Riverside,Which city is near to Irwell Riverside?,"A. Crumpsall
B. Eccles
C. Wheatley Hills & Intake",B. Eccles,"hard,correct,random"
Ettingshall,near,St. James's,Ettingshall is near St. James's,Which city is near to St. James's?,"A. Hazel Grove
B. Ettingshall
C. Harewood",B. Ettingshall,"random,correct,hard"
Heatons South,near,Reddish North,Heatons South is near Reddish North,Which city is near to Reddish North?,"A. Heatons South
B. Breightmet
C. Netherton Woodside and St. Andrews",A. Heatons South,"correct,random,hard"
Everton,near,Liscard,Everton is near Liscard,Which city is near to Liscard?,"A. Everton
B. Central
C. Tameside",A. Everton,"correct,random,hard"
Manor,near,Offerton Park,Manor is near Offerton Park,Which city is near to Offerton Park?,"A. Bablake
B. Denton South
C. Manor",C. Manor,"random,hard,correct"
Central,near,Monk Bretton,Central is near Monk Bretton,Which city is near to Monk Bretton?,"A. Erdington
B. Village
C. Central",C. Central,"random,hard,correct"
Bablake,near,Sherbourne Warwickshire,Bablake is near Sherbourne Warwickshire,Which city is near to Sherbourne Warwickshire?,"A. Lower Stoke
B. Bablake
C. Davyhulme West",B. Bablake,"hard,correct,random"
Central,near,Crofton Ryhill and Walton,Central is near Crofton Ryhill and Walton,Which city is near to Crofton Ryhill and Walton?,"A. Saddleworth
B. Metropolitan Borough of Stockport
C. Central",C. Central,"hard,random,correct"
Hopwood Hall,near,Kingsway,Hopwood Hall is near Kingsway,Which city is near to Kingsway?,"A. East Gosforth
B. Redhill
C. Hopwood Hall",C. Hopwood Hall,"hard,random,correct"
Kings Norton,near,Shirley West,Kings Norton is near Shirley West,Which city is near to Shirley West?,"A. Kings Norton
B. Bromborough
C. St. Gabriels",A. Kings Norton,"correct,hard,random"
Droylsden West,near,East Middleton,Droylsden West is near East Middleton,Which city is near to East Middleton?,"A. Aspull New Springs Whelley
B. Knotty Ash
C. Droylsden West",C. Droylsden West,"hard,random,correct"
Levenshulme,near,Whalley Range,Levenshulme is near Whalley Range,Which city is near to Whalley Range?,"A. Broughton
B. Levenshulme
C. Otley and Yeadon",B. Levenshulme,"hard,correct,random"
Litherland,near,Warbreck,Litherland is near Warbreck,Which city is near to Warbreck?,"A. St. Oswald
B. Claughton
C. Litherland",C. Litherland,"hard,random,correct"
Baguley,near,Whalley Range,Baguley is near Whalley Range,Which city is near to Whalley Range?,"A. Broughton
B. Brownhills
C. Baguley",C. Baguley,"hard,random,correct"
Riverside,near,Simonside and Rekendyke,Riverside is near Simonside and Rekendyke,Which city is near to Simonside and Rekendyke?,"A. Hebburn North
B. Collingwood
C. Riverside",C. Riverside,"hard,random,correct"
Chadderton South,near,Failsworth East,Chadderton South is near Failsworth East,Which city is near to Failsworth East?,"A. Chadderton South
B. Bidston and St. James
C. Todmorden",A. Chadderton South,"correct,hard,random"
Redvales,near,West Middleton,Redvales is near West Middleton,Which city is near to West Middleton?,"A. Medlock Vale
B. Redvales
C. Besses",B. Redvales,"random,correct,hard"
Fenham,near,Parklands,Fenham is near Parklands,Which city is near to Parklands?,"A. Fenham
B. Denton
C. Aspull New Springs Whelley",A. Fenham,"correct,hard,random"
Chorlton Park,near,Hale Barns,Chorlton Park is near Hale Barns,Which city is near to Hale Barns?,"A. Wakefield South
B. Kippax West Yorkshire
C. Chorlton Park",C. Chorlton Park,"hard,random,correct"
Kingstanding,near,Nechells,Kingstanding is near Nechells,Which city is near to Nechells?,"A. Greets Green and Lyng
B. Harborne
C. Kingstanding",C. Kingstanding,"random,hard,correct"
Bucklow-St. Martins,near,Urmston,Bucklow-St. Martins is near Urmston,Which city is near to Urmston?,"A. Worsbrough
B. Swinton South
C. Bucklow-St. Martins",C. Bucklow-St. Martins,"random,hard,correct"
Sedgley,near,St. Mary's,Sedgley is near St. Mary's,Which city is near to St. Mary's?,"A. Wallsend
B. Barton
C. Sedgley",C. Sedgley,"random,hard,correct"
Church,near,Kensington and Fairfield,Church is near Kensington and Fairfield,Which city is near to Kensington and Fairfield?,"A. Heath Town
B. St. Mary's
C. Church",C. Church,"hard,random,correct"
Gornal,near,Sedgley,Gornal is near Sedgley,Which city is near to Sedgley?,"A. Gornal
B. Withington
C. Ordsall",A. Gornal,"correct,random,hard"
Horbury and South Ossett,near,Kirkburton,Horbury and South Ossett is near Kirkburton,Which city is near to Kirkburton?,"A. Crosland Moor and Netherton
B. Horbury and South Ossett
C. Wingrove",B. Horbury and South Ossett,"hard,correct,random"
Church,near,Ravenmeols,Church is near Ravenmeols,Which city is near to Ravenmeols?,"A. Church
B. Hazel Grove
C. Cullercoats",A. Church,"correct,random,hard"
Bablake,near,St. Michael's,Bablake is near St. Michael's,Which city is near to St. Michael's?,"A. Riverside
B. Bablake
C. Headingley",B. Bablake,"hard,correct,random"
Collingwood,near,Simonside and Rekendyke,Collingwood is near Simonside and Rekendyke,Which city is near to Simonside and Rekendyke?,"A. Hebburn South
B. Acocks Green
C. Collingwood",C. Collingwood,"hard,random,correct"
Riverside,near,St. Michael's,Riverside is near St. Michael's,Which city is near to St. Michael's?,"A. West Kirby and Thurstaston
B. Riverside
C. Bromborough",B. Riverside,"random,correct,hard"
Sale Moor,near,Withington,Sale Moor is near Withington,Which city is near to Withington?,"A. Sale Moor
B. Kearsley
C. Didsbury East",A. Sale Moor,"correct,random,hard"
Great Barr with Yew Tree,near,Wednesbury North,Great Barr with Yew Tree is near Wednesbury North,Which city is near to Wednesbury North?,"A. Metropolitan Borough of Bolton
B. Bilston East
C. Great Barr with Yew Tree",C. Great Barr with Yew Tree,"random,hard,correct"
Crookes & Crosspool,near,West Ecclesfield,Crookes & Crosspool is near West Ecclesfield,Which city is near to West Ecclesfield?,"A. Timperley
B. Dodworth
C. Crookes & Crosspool",C. Crookes & Crosspool,"random,hard,correct"
Crosland Moor and Netherton,near,Lindley,Crosland Moor and Netherton is near Lindley,Which city is near to Lindley?,"A. Crosland Moor and Netherton
B. Stocksbridge & Upper Don
C. Medlock Vale",A. Crosland Moor and Netherton,"correct,random,hard"
Battle Hill,near,Bede,Battle Hill is near Bede,Which city is near to Bede?,"A. Firth Park
B. Bournville
C. Battle Hill",C. Battle Hill,"hard,random,correct"
Dodworth,near,West Ecclesfield,Dodworth is near West Ecclesfield,Which city is near to West Ecclesfield?,"A. Keighley East
B. Dodworth
C. Crookes & Crosspool",B. Dodworth,"random,correct,hard"
Graves Park,near,Hillsborough,Graves Park is near Hillsborough,Which city is near to Hillsborough?,"A. Valley
B. Graves Park
C. Boothstown and Ellenbrook",B. Graves Park,"hard,correct,random"
Kenton,near,Longbenton,Kenton is near Longbenton,Which city is near to Longbenton?,"A. Kenton
B. Abram
C. Gornal",A. Kenton,"correct,random,hard"
Birley,near,Wales South Yorkshire,Birley is near Wales South Yorkshire,Which city is near to Wales South Yorkshire?,"A. Birley
B. Brinsworth and Catcliffe
C. Leigh East",A. Birley,"correct,hard,random"
Hoober,near,Hoyland Milton,Hoober is near Hoyland Milton,Which city is near to Hoyland Milton?,"A. Silverwood
B. Hoober
C. Whoberley",B. Hoober,"random,correct,hard"
Batley East,near,Mirfield,Batley East is near Mirfield,Which city is near to Mirfield?,"A. Shirley West
B. Palfrey
C. Batley East",C. Batley East,"random,hard,correct"
Cadishead,near,Tyldesley,Cadishead is near Tyldesley,Which city is near to Tyldesley?,"A. Manor Castle
B. Cadishead
C. Little Hulton",B. Cadishead,"random,correct,hard"
Claughton,near,Wallasey,Claughton is near Wallasey,Which city is near to Wallasey?,"A. Queensbury
B. Blundellsands
C. Claughton",C. Claughton,"random,hard,correct"
Graiseley,near,Spring Vale,Graiseley is near Spring Vale,Which city is near to Spring Vale?,"A. Graiseley
B. Penistone East
C. Wardle and West Littleborough",A. Graiseley,"correct,hard,random"
Darton West,near,Dodworth,Darton West is near Dodworth,Which city is near to Dodworth?,"A. Darton West
B. City Centre
C. Kirkdale",A. Darton West,"correct,hard,random"
Hipperholme and Lightcliffe,near,Royds,Hipperholme and Lightcliffe is near Royds,Which city is near to Royds?,"A. Parr
B. Northowram and Shelf
C. Hipperholme and Lightcliffe",C. Hipperholme and Lightcliffe,"random,hard,correct"
Tottington,near,Astley Village,Tottington is near Astley Village,Which city is near to Astley Village?,"A. Tottington
B. Radcliffe North
C. Moseley and Kings Heath",A. Tottington,"correct,hard,random"
Charlestown,near,Kersal,Charlestown is near Kersal,Which city is near to Kersal?,"A. Ilkley
B. Higher Blackley
C. Charlestown",C. Charlestown,"random,hard,correct"
Radcliffe North,near,Astley Village,Radcliffe North is near Astley Village,Which city is near to Astley Village?,"A. Radcliffe North
B. County
C. Tottington",A. Radcliffe North,"correct,random,hard"
Haydock,near,Bryn,Haydock is near Bryn,Which city is near to Bryn?,"A. Haydock
B. Richmond
C. Blackheath",A. Haydock,"correct,random,hard"
Belle Vale,near,Netherton Woodside and St. Andrews,Belle Vale is near Netherton Woodside and St. Andrews,Which city is near to Netherton Woodside and St. Andrews?,"A. Amblecote
B. Belle Vale
C. Toller",B. Belle Vale,"hard,correct,random"
Darton West,near,St. Helens,Darton West is near St. Helens,Which city is near to St. Helens?,"A. Calder
B. Armley
C. Darton West",C. Darton West,"hard,random,correct"
Short Heath,near,Wednesfield South,Short Heath is near Wednesfield South,Which city is near to Wednesfield South?,"A. Short Heath
B. Tyldesley
C. Bloxwich West",A. Short Heath,"correct,random,hard"
Princes End,near,Rowley,Princes End is near Rowley,Which city is near to Rowley?,"A. Kings Norton
B. Netherton Woodside and St. Andrews
C. Princes End",C. Princes End,"random,hard,correct"
City,near,Fulwood,City is near Fulwood,Which city is near to Fulwood?,"A. Quarry Bank and Dudley Wood
B. Blackrod
C. City",C. City,"random,hard,correct"
Castleton,near,Hollinwood,Castleton is near Hollinwood,Which city is near to Hollinwood?,"A. Castleton
B. Birkenhead and Tranmere
C. Chadderton South",A. Castleton,"correct,random,hard"
Bromborough,near,Cressington,Bromborough is near Cressington,Which city is near to Cressington?,"A. Oldbury
B. Bromborough
C. Hillsborough",B. Bromborough,"random,correct,hard"
Fallowfield,near,Ordsall,Fallowfield is near Ordsall,Which city is near to Ordsall?,"A. Fallowfield
B. Normanton West Yorkshire
C. Ardwick",A. Fallowfield,"correct,random,hard"
Olton,near,Silhill,Olton is near Silhill,Which city is near to Silhill?,"A. Dorridge and Hockley Heath
B. Olton
C. Sudell",B. Olton,"hard,correct,random"
Penistone East,near,Denby Dale,Penistone East is near Denby Dale,Which city is near to Denby Dale?,"A. Guiseley and Rawdon
B. Penistone East
C. Normanton West Yorkshire",B. Penistone East,"random,correct,hard"
Hyde Godley,near,Marple South,Hyde Godley is near Marple South,Which city is near to Marple South?,"A. Longdendale
B. Hyde Godley
C. Bradford",B. Hyde Godley,"hard,correct,random"
Bromley Cross,near,Smithills,Bromley Cross is near Smithills,Which city is near to Smithills?,"A. Bromley Cross
B. Gornal
C. Boston Castle",A. Bromley Cross,"correct,hard,random"
Harborne,near,St. Pauls,Harborne is near St. Pauls,Which city is near to St. Pauls?,"A. Merry Hill
B. Harborne
C. Aston",B. Harborne,"random,correct,hard"
Dene,near,Lobley Hill and Bensham,Dene is near Lobley Hill and Bensham,Which city is near to Lobley Hill and Bensham?,"A. Dene
B. City of Salford
C. Chadderton South",A. Dene,"correct,hard,random"
Netherton Woodside and St. Andrews,near,Quarry Bank and Dudley Wood,Netherton Woodside and St. Andrews is near Quarry Bank and Dudley Wood,Which city is near to Quarry Bank and Dudley Wood?,"A. High Fell
B. Netherton Woodside and St. Andrews
C. Ordsall",B. Netherton Woodside and St. Andrews,"hard,correct,random"
Bramley and Stanningley,near,Farnley and Wortley,Bramley and Stanningley is near Farnley and Wortley,Which city is near to Farnley and Wortley?,"A. Bramley and Stanningley
B. Metropolitan Borough of Stockport
C. Beighton",A. Bramley and Stanningley,"correct,hard,random"
Horwich and Blackrod,near,Wigan Central,Horwich and Blackrod is near Wigan Central,Which city is near to Wigan Central?,"A. Horwich and Blackrod
B. Washington North
C. Walkergate",A. Horwich and Blackrod,"correct,random,hard"
Luddendenfoot,near,Ovenden,Luddendenfoot is near Ovenden,Which city is near to Ovenden?,"A. Luddendenfoot
B. Castle Bromwich
C. Breightmet",A. Luddendenfoot,"correct,hard,random"
Aldridge North and Walsall Wood,near,Streetly,Aldridge North and Walsall Wood is near Streetly,Which city is near to Streetly?,"A. Aldridge North and Walsall Wood
B. Greetland and Stainland
C. Tameside",A. Aldridge North and Walsall Wood,"correct,random,hard"
Hayley Green and Cradley South,near,Langley,Hayley Green and Cradley South is near Langley,Which city is near to Langley?,"A. Heath Town
B. Hayley Green and Cradley South
C. Charlemont with Grove Vale",B. Hayley Green and Cradley South,"random,correct,hard"
Aspull New Springs Whelley,near,Hindley,Aspull New Springs Whelley is near Hindley,Which city is near to Hindley?,"A. Ackworth North Elmsall and Upton
B. Rotherham East
C. Aspull New Springs Whelley",C. Aspull New Springs Whelley,"hard,random,correct"
Charlestown,near,City Centre,Charlestown is near City Centre,Which city is near to City Centre?,"A. Irlam
B. North West Euro Region
C. Charlestown",C. Charlestown,"hard,random,correct"
Hatfield,near,Armthorpe,Hatfield is near Armthorpe,Which city is near to Armthorpe?,"A. Beauchief & Greenhill
B. Washwood Heath
C. Hatfield",C. Hatfield,"random,hard,correct"
South Middleton,near,Unsworth,South Middleton is near Unsworth,Which city is near to Unsworth?,"A. South Middleton
B. Upper Gornal and Woodsetton
C. Tottington",A. South Middleton,"correct,random,hard"
Clifford,near,Moss Side,Clifford is near Moss Side,Which city is near to Moss Side?,"A. Beighton
B. Clifford
C. Fallowfield",B. Clifford,"random,correct,hard"
Armley,near,Horsforth,Armley is near Horsforth,Which city is near to Horsforth?,"A. Armley
B. Central
C. Windhill and Wrose",A. Armley,"correct,random,hard"
Ovenden,near,Sowerby Bridge,Ovenden is near Sowerby Bridge,Which city is near to Sowerby Bridge?,"A. Norton
B. Colne Valley
C. Ovenden",C. Ovenden,"random,hard,correct"
Calder,near,Littleborough Lakeside,Calder is near Littleborough Lakeside,Which city is near to Littleborough Lakeside?,"A. Balderstone and Kirkholt
B. Adwick le Street & Carcroft
C. Calder",C. Calder,"hard,random,correct"
Coseley East,near,Princes End,Coseley East is near Princes End,Which city is near to Princes End?,"A. Oldbury
B. Coseley East
C. Oxton",B. Coseley East,"hard,correct,random"
Billesley,near,Olton,Billesley is near Olton,Which city is near to Olton?,"A. Billesley
B. Timperley
C. City of Bradford",A. Billesley,"correct,random,hard"
Burmantofts and Richmond Hill,near,Harewood,Burmantofts and Richmond Hill is near Harewood,Which city is near to Harewood?,"A. Boothstown and Ellenbrook
B. Roundhay
C. Burmantofts and Richmond Hill",C. Burmantofts and Richmond Hill,"random,hard,correct"
Foleshill,near,Holbrook,Foleshill is near Holbrook,Which city is near to Holbrook?,"A. Foleshill
B. Birkenhead and Tranmere
C. Kirklees",A. Foleshill,"correct,hard,random"
Cleckheaton,near,Great Horton,Cleckheaton is near Great Horton,Which city is near to Great Horton?,"A. Ainsdale
B. Newburn
C. Cleckheaton",C. Cleckheaton,"hard,random,correct"
Royton North,near,Wardle and West Littleborough,Royton North is near Wardle and West Littleborough,Which city is near to Wardle and West Littleborough?,"A. Smallbridge and Firgrove
B. Royton North
C. Rainhill",B. Royton North,"hard,correct,random"
Charlemont with Grove Vale,near,Langley,Charlemont with Grove Vale is near Langley,Which city is near to Langley?,"A. Charlemont with Grove Vale
B. Hayley Green and Cradley South
C. Broomhill & Sharrow Vale",A. Charlemont with Grove Vale,"correct,hard,random"
Amblecote,near,Wordsley,Amblecote is near Wordsley,Which city is near to Wordsley?,"A. Shipley
B. Abram
C. Amblecote",C. Amblecote,"random,hard,correct"
Halesowen North,near,St. Thomas's,Halesowen North is near St. Thomas's,Which city is near to St. Thomas's?,"A. St. Thomas's
B. St. James's
C. Halesowen North",C. Halesowen North,"random,hard,correct"
Clubmoor,near,Croxteth,Clubmoor is near Croxteth,Which city is near to Croxteth?,"A. Cressington
B. Manchester
C. Clubmoor",C. Clubmoor,"hard,random,correct"
Billesley,near,Ladywood,Billesley is near Ladywood,Which city is near to Ladywood?,"A. Droylsden West
B. Billesley
C. Edgbaston",B. Billesley,"random,correct,hard"
Northenden,near,Ordsall,Northenden is near Ordsall,Which city is near to Ordsall?,"A. Fallowfield
B. Castleton
C. Northenden",C. Northenden,"hard,random,correct"
Bridges,near,Fenham,Bridges is near Fenham,Which city is near to Fenham?,"A. Monkseaton North
B. Aston
C. Bridges",C. Bridges,"random,hard,correct"
Central,near,Kingstone,Central is near Kingstone,Which city is near to Kingstone?,"A. Saddleworth North
B. Central
C. Hayley Green and Cradley South",B. Central,"hard,correct,random"
Langley,near,Finstall,Langley is near Finstall,Which city is near to Finstall?,"A. Newsome
B. Langley
C. Charlemont with Grove Vale",B. Langley,"random,correct,hard"
Abbey,near,St. Pauls,Abbey is near St. Pauls,Which city is near to St. Pauls?,"A. Abbey
B. Harborne
C. Ramsbottom",A. Abbey,"correct,hard,random"
North Heaton,near,Ouseburn,North Heaton is near Ouseburn,Which city is near to Ouseburn?,"A. Trafford
B. Greenhead
C. North Heaton",C. North Heaton,"hard,random,correct"
St. James's,near,St. Thomas's,St. James's is near St. Thomas's,Which city is near to St. Thomas's?,"A. Halesowen North
B. St. James's
C. Liversedge and Gomersal",B. St. James's,"hard,correct,random"
Birkenhead and Tranmere,near,Leasowe and Moreton East,Birkenhead and Tranmere is near Leasowe and Moreton East,Which city is near to Leasowe and Moreton East?,"A. Holme Valley North
B. Claughton
C. Birkenhead and Tranmere",C. Birkenhead and Tranmere,"random,hard,correct"
Low Fell,near,Windy Nook and Whitehills,Low Fell is near Windy Nook and Whitehills,Which city is near to Windy Nook and Whitehills?,"A. Moss Bank
B. Washington South
C. Low Fell",C. Low Fell,"random,hard,correct"
Simonside and Rekendyke,near,Tynemouth,Simonside and Rekendyke is near Tynemouth,Which city is near to Tynemouth?,"A. Washington West
B. Simonside and Rekendyke
C. Boldon Colliery",B. Simonside and Rekendyke,"hard,correct,random"
Gorton North,near,Miles Platting and Newton Heath,Gorton North is near Miles Platting and Newton Heath,Which city is near to Miles Platting and Newton Heath?,"A. Davenport and Cale Green
B. Gorton North
C. Failsworth West",B. Gorton North,"random,correct,hard"
Darlaston South,near,Tipton Green,Darlaston South is near Tipton Green,Which city is near to Tipton Green?,"A. Derby
B. Darlaston South
C. Whitley Bay",B. Darlaston South,"hard,correct,random"
Dukinfield Stalybridge,near,Saddleworth West and Lees,Dukinfield Stalybridge is near Saddleworth West and Lees,Which city is near to Saddleworth West and Lees?,"A. Fallowfield
B. Dukinfield Stalybridge
C. Audenshaw",B. Dukinfield Stalybridge,"random,correct,hard"
Washington South,near,Windy Nook and Whitehills,Washington South is near Windy Nook and Whitehills,Which city is near to Windy Nook and Whitehills?,"A. Washington South
B. Washington Central
C. Horwich",A. Washington South,"correct,hard,random"
Smallbridge and Firgrove,near,Wardle and West Littleborough,Smallbridge and Firgrove is near Wardle and West Littleborough,Which city is near to Wardle and West Littleborough?,"A. Shaw
B. Thatto Heath
C. Smallbridge and Firgrove",C. Smallbridge and Firgrove,"hard,random,correct"
Blundellsands,near,Wallasey,Blundellsands is near Wallasey,Which city is near to Wallasey?,"A. Hale Barns
B. Claughton
C. Blundellsands",C. Blundellsands,"random,hard,correct"
Hulme,near,Priory,Hulme is near Priory,Which city is near to Priory?,"A. Hale Central
B. Hulme
C. Failsworth East",B. Hulme,"hard,correct,random"
Walker,near,Windy Nook and Whitehills,Walker is near Windy Nook and Whitehills,Which city is near to Windy Nook and Whitehills?,"A. Childwall
B. Walker
C. Low Fell",B. Walker,"random,correct,hard"
Croxteth,near,Northwood,Croxteth is near Northwood,Which city is near to Northwood?,"A. Croxteth
B. Fazakerley
C. Friar Park",A. Croxteth,"correct,hard,random"
Edgeley and Cheadle Heath,near,Reddish South,Edgeley and Cheadle Heath is near Reddish South,Which city is near to Reddish South?,"A. Edgeley and Cheadle Heath
B. Werneth
C. Ancoats and Clayton",A. Edgeley and Cheadle Heath,"correct,random,hard"
Anfield,near,Norris Green,Anfield is near Norris Green,Which city is near to Norris Green?,"A. Everton
B. Anfield
C. Rusholme",B. Anfield,"hard,correct,random"
Elland,near,Sowerby Bridge,Elland is near Sowerby Bridge,Which city is near to Sowerby Bridge?,"A. Ovenden
B. Elland
C. Halesowen South",B. Elland,"hard,correct,random"
Balderstone and Kirkholt,near,Littleborough Lakeside,Balderstone and Kirkholt is near Littleborough Lakeside,Which city is near to Littleborough Lakeside?,"A. Copt Hill
B. Balderstone and Kirkholt
C. Calder",B. Balderstone and Kirkholt,"random,correct,hard"
Boldon Colliery,near,Simonside and Rekendyke,Boldon Colliery is near Simonside and Rekendyke,Which city is near to Simonside and Rekendyke?,"A. Boldon Colliery
B. Collingwood
C. Worsley",A. Boldon Colliery,"correct,hard,random"
Norden,near,Ramsbottom,Norden is near Ramsbottom,Which city is near to Ramsbottom?,"A. Lindley
B. Norden
C. Central Rochdale",B. Norden,"hard,correct,random"
Little Hulton,near,Winton,Little Hulton is near Winton,Which city is near to Winton?,"A. High Fell
B. Henley
C. Little Hulton",C. Little Hulton,"random,hard,correct"
Chapel Allerton,near,Harewood,Chapel Allerton is near Harewood,Which city is near to Harewood?,"A. Gipton and Harehills
B. Chapel Allerton
C. Gipton and Harehills",B. Chapel Allerton,"hard,correct,random"
Featherstone,borders,Altofts and Whitwood,Featherstone is borders Altofts and Whitwood,Which city borders Altofts and Whitwood?,"A. Featherstone
B. Boldon Colliery
C. Pontefract North",A. Featherstone,"correct,random,hard"
Bentley and Darlaston North,borders,Pleck,Bentley and Darlaston North is borders Pleck,Which city borders Pleck?,"A. Bentley and Darlaston North
B. Heatons North
C. Horwich and Blackrod",A. Bentley and Darlaston North,"correct,random,hard"
St. Alphege,borders,Blythe,St. Alphege is borders Blythe,Which city borders Blythe?,"A. City Centre
B. St. Alphege
C. Saddleworth North",B. St. Alphege,"hard,correct,random"
Ladywood,borders,Nechells,Ladywood is borders Nechells,Which city borders Nechells?,"A. Washington North
B. Bordesley Green
C. Ladywood",C. Ladywood,"random,hard,correct"
Blaydon,borders,Whickham South and Sunniside,Blaydon is borders Whickham South and Sunniside,Which city borders Whickham South and Sunniside?,"A. Wakefield East
B. Lamesley
C. Blaydon",C. Blaydon,"random,hard,correct"
Kingsway,borders,Central Rochdale,Kingsway is borders Central Rochdale,Which city borders Central Rochdale?,"A. Milkstone and Deeplish
B. Beacon and Bents
C. Kingsway",C. Kingsway,"hard,random,correct"
Tonge with the Haulgh,borders,Crompton,Tonge with the Haulgh is borders Crompton,Which city borders Crompton?,"A. Royton North
B. Silverwood
C. Tonge with the Haulgh",C. Tonge with the Haulgh,"hard,random,correct"
Hexthorpe & Balby North,borders,Town,Hexthorpe & Balby North is borders Town,Which city borders Town?,"A. Hexthorpe & Balby North
B. Monkseaton North
C. Bidston and St. James",A. Hexthorpe & Balby North,"correct,hard,random"
Denton West,borders,Denton South,Denton West is borders Denton South,Which city borders Denton South?,"A. Bredbury and Woodley
B. Denton West
C. Eccleshill",B. Denton West,"hard,correct,random"
Brighouse,borders,Elland,Brighouse is borders Elland,Which city borders Elland?,"A. Brighouse
B. Astley Mosley Common
C. Charlemont with Grove Vale",A. Brighouse,"correct,random,hard"
Heswall,borders,West Kirby and Thurstaston,Heswall is borders West Kirby and Thurstaston,Which city borders West Kirby and Thurstaston?,"A. Temple Newsam
B. Tong
C. Heswall",C. Heswall,"hard,random,correct"
Wednesbury South,borders,Wednesbury North,Wednesbury South is borders Wednesbury North,Which city borders Wednesbury North?,"A. Hodge Hill
B. Princes End
C. Wednesbury South",C. Wednesbury South,"random,hard,correct"
Sandhill,borders,Barnes,Sandhill is borders Barnes,Which city borders Barnes?,"A. Bromley Cross
B. Sandhill
C. Wales South Yorkshire",B. Sandhill,"random,correct,hard"
Oldbury,borders,Great Bridge,Oldbury is borders Great Bridge,Which city borders Great Bridge?,"A. Whoberley
B. Oldbury
C. Hayley Green and Cradley South",B. Oldbury,"random,correct,hard"
Heaton and Lostock,borders,Horwich and Blackrod,Heaton and Lostock is borders Horwich and Blackrod,Which city borders Horwich and Blackrod?,"A. Temple Newsam
B. Crookes & Crosspool
C. Heaton and Lostock",C. Heaton and Lostock,"hard,random,correct"
Byker,borders,Ouseburn,Byker is borders Ouseburn,Which city borders Ouseburn?,"A. Halesowen North
B. Stockbridge
C. Byker",C. Byker,"random,hard,correct"
Newsome,borders,Crosland Moor and Netherton,Newsome is borders Crosland Moor and Netherton,Which city borders Crosland Moor and Netherton?,"A. Newsome
B. Haydock
C. Altrincham",A. Newsome,"correct,hard,random"
Westhoughton North and Chew Moor,borders,Hulton,Westhoughton North and Chew Moor is borders Hulton,Which city borders Hulton?,"A. Tividale
B. Bessacarr
C. Westhoughton North and Chew Moor",C. Westhoughton North and Chew Moor,"random,hard,correct"
Didsbury East,borders,Withington,Didsbury East is borders Withington,Which city borders Withington?,"A. Heatons North
B. Didsbury East
C. Levenshulme",B. Didsbury East,"random,correct,hard"
Upton,borders,Pensby and Thingwall,Upton is borders Pensby and Thingwall,Which city borders Pensby and Thingwall?,"A. Hindley
B. Upton
C. Sedgley",B. Upton,"hard,correct,random"
Bromborough,borders,Clatterbridge,Bromborough is borders Clatterbridge,Which city borders Clatterbridge?,"A. Bromborough
B. Hopwood Hall
C. Ashbrow",A. Bromborough,"correct,hard,random"
Morley West Yorkshire,borders,Birstall and Birkenshaw,Morley West Yorkshire is borders Birstall and Birkenshaw,Which city borders Birstall and Birkenshaw?,"A. Morley West Yorkshire
B. Batley East
C. Bebington",A. Morley West Yorkshire,"correct,hard,random"
Baguley,borders,Woodhouse Park,Baguley is borders Woodhouse Park,Which city borders Woodhouse Park?,"A. Pudsey
B. Baguley
C. Astley Village",B. Baguley,"random,correct,hard"
Rowley,borders,Blackheath,Rowley is borders Blackheath,Which city borders Blackheath?,"A. Silverwood
B. Rowley
C. North Heywood",B. Rowley,"random,correct,hard"
Rock Ferry,borders,Bromborough,Rock Ferry is borders Bromborough,Which city borders Bromborough?,"A. Eastham
B. Rock Ferry
C. East Gosforth",B. Rock Ferry,"hard,correct,random"
Hale Barns,borders,Altrincham,Hale Barns is borders Altrincham,Which city borders Altrincham?,"A. Hale Barns
B. Timperley
C. Keighley East",A. Hale Barns,"correct,hard,random"
Harpurhey,borders,Charlestown,Harpurhey is borders Charlestown,Which city borders Charlestown?,"A. Moston
B. Bushbury North
C. Harpurhey",C. Harpurhey,"hard,random,correct"
Ecclesall,borders,Graves Park,Ecclesall is borders Graves Park,Which city borders Graves Park?,"A. Ecclesall
B. Ettingshall
C. Gleadless Valley",A. Ecclesall,"correct,random,hard"
Kingshurst and Fordbridge,borders,Bickenhill,Kingshurst and Fordbridge is borders Bickenhill,Which city borders Bickenhill?,"A. Lower Stoke
B. Kingshurst and Fordbridge
C. Elmdon",B. Kingshurst and Fordbridge,"random,correct,hard"
