place1,dis,place2_Y,dir,place2_Z,triplet,question,options,answer,option_sources
Stretford,near,Village,west,Stanley and Outwood East,"Stretford is near Village, west Stanley and Outwood East",Which city is near to Village and also west from Stanley and Outwood East?,"A. Stretford
B. Little Horton
C. Warbreck",A. Stretford,"correct,partial,random"
Stretford,close,Tonge with the Haulgh,south,Boldon Colliery,"Stretford is close Tonge with the Haulgh, south Boldon Colliery",Which city is close to Tonge with the Haulgh and also south from Boldon Colliery?,"A. Worsley
B. Halesowen North
C. Stretford",C. Stretford,"random,partial,correct"
Stretford,distant,Warley,north,Sheldon,"Stretford is distant Warley, north Sheldon",Which city is distant to Warley and also north from Sheldon?,"A. Wrenthorpe and Outwood West
B. Stretford
C. Wetherby",B. Stretford,"partial,correct,random"
Stretford,far,Tettenhall Regis,east,Moss Bank,"Stretford is far Tettenhall Regis, east Moss Bank",Which city is far to Tettenhall Regis and also east from Moss Bank?,"A. Sparkbrook
B. Stretford
C. Higher Blackley",B. Stretford,"random,correct,partial"
Tettenhall Regis,near,Doxey,south,Ryburn,"Tettenhall Regis is near Doxey, south Ryburn",Which city is near to Doxey and also south from Ryburn?,"A. Tettenhall Regis
B. Halesowen North
C. Douglas",A. Tettenhall Regis,"correct,partial,random"
Tettenhall Regis,close,Wednesfield North,west,Binley and Willenhall,"Tettenhall Regis is close Wednesfield North, west Binley and Willenhall",Which city is close to Wednesfield North and also west from Binley and Willenhall?,"A. Wainbody
B. Netherton Woodside and St. Andrews
C. Tettenhall Regis",C. Tettenhall Regis,"random,partial,correct"
Tettenhall Regis,distant,Weoley,north,Wollaston and Stourbridge Town,"Tettenhall Regis is distant Weoley, north Wollaston and Stourbridge Town",Which city is distant to Weoley and also north from Wollaston and Stourbridge Town?,"A. Tettenhall Regis
B. Davyhulme West
C. Washington West",A. Tettenhall Regis,"correct,partial,random"
Stalybridge South,near,Mossley,north,Belle Vale,"Stalybridge South is near Mossley, north Belle Vale",Which city is near to Mossley and also north from Belle Vale?,"A. Stalybridge South
B. Page Moss
C. Washwood Heath",A. Stalybridge South,"correct,partial,random"
Stalybridge South,close,Withington,south,Valley,"Stalybridge South is close Withington, south Valley",Which city is close to Withington and also south from Valley?,"A. Stalybridge South
B. Balby South
C. Battle Hill",A. Stalybridge South,"correct,random,partial"
Stalybridge South,distant,Wigan Central,east,Eccles,"Stalybridge South is distant Wigan Central, east Eccles",Which city is distant to Wigan Central and also east from Eccles?,"A. Stalybridge South
B. Dearne South
C. Wallasey",A. Stalybridge South,"correct,random,partial"
Stalybridge South,far,West Park,west,Burmantofts and Richmond Hill,"Stalybridge South is far West Park, west Burmantofts and Richmond Hill",Which city is far to West Park and also west from Burmantofts and Richmond Hill?,"A. Cradley and Wollescote
B. Stalybridge South
C. St. James'",B. Stalybridge South,"random,correct,partial"
Newton,near,Streetly,south,Ouseburn,"Newton is near Streetly, south Ouseburn",Which city is near to Streetly and also south from Ouseburn?,"A. Silhill
B. Newton
C. Ovenden",B. Newton,"random,correct,partial"
Newton,close,Stechford and Yardley North,west,Central Rochdale,"Newton is close Stechford and Yardley North, west Central Rochdale",Which city is close to Stechford and Yardley North and also west from Central Rochdale?,"A. Orrell
B. Newton
C. Castle and Priory",B. Newton,"partial,correct,random"
Newton,distant,Reddish North,north,Nechells,"Newton is distant Reddish North, north Nechells",Which city is distant to Reddish North and also north from Nechells?,"A. Newton
B. Kippax West Yorkshire
C. Ardwick",A. Newton,"correct,partial,random"
Newton,far,Northwood,east,Bushbury South and Low Hill,"Newton is far Northwood, east Bushbury South and Low Hill",Which city is far to Northwood and also east from Bushbury South and Low Hill?,"A. Newton
B. Graves Park
C. Washwood Heath",A. Newton,"correct,random,partial"
Calder,near,Littleborough Lakeside,north,West Heywood,"Calder is near Littleborough Lakeside, north West Heywood",Which city is near to Littleborough Lakeside and also north from West Heywood?,"A. Old Moat
B. Calder
C. Central Rochdale",B. Calder,"random,correct,partial"
Calder,close,St. James',west,Wakefield East,"Calder is close St. James', west Wakefield East",Which city is close to St. James' and also west from Wakefield East?,"A. Barton
B. Sharston
C. Calder",C. Calder,"partial,random,correct"
Calder,distant,East Ecclesfield,east,Upton,"Calder is distant East Ecclesfield, east Upton",Which city is distant to East Ecclesfield and also east from Upton?,"A. City Centre
B. Old Warley
C. Calder",C. Calder,"partial,random,correct"
Calder,far,Victoria,south,Chopwell and Rowlands Gill,"Calder is far Victoria, south Chopwell and Rowlands Gill",Which city is far to Victoria and also south from Chopwell and Rowlands Gill?,"A. Sale Moor
B. Eastham
C. Calder",C. Calder,"partial,random,correct"
Leasowe and Moreton East,near,New Brighton,west,Ordsall,"Leasowe and Moreton East is near New Brighton, west Ordsall",Which city is near to New Brighton and also west from Ordsall?,"A. Allerton and Hunts Cross
B. Leasowe and Moreton East
C. Childwall",B. Leasowe and Moreton East,"random,correct,partial"
Leasowe and Moreton East,close,St. Michael's,north,Westwood,"Leasowe and Moreton East is close St. Michael's, north Westwood",Which city is close to St. Michael's and also north from Westwood?,"A. Kingsway
B. Leasowe and Moreton East
C. Silverwood",B. Leasowe and Moreton East,"partial,correct,random"
Leasowe and Moreton East,distant,Westhoughton North and Chew Moor,south,South Jesmond,"Leasowe and Moreton East is distant Westhoughton North and Chew Moor, south South Jesmond",Which city is distant to Westhoughton North and Chew Moor and also south from South Jesmond?,"A. Graiseley
B. Olton
C. Leasowe and Moreton East",C. Leasowe and Moreton East,"partial,random,correct"
Leasowe and Moreton East,far,North Jesmond,east,Hoylake and Meols,"Leasowe and Moreton East is far North Jesmond, east Hoylake and Meols",Which city is far to North Jesmond and also east from Hoylake and Meols?,"A. Copt Hill
B. Leasowe and Moreton East
C. Sedgley",B. Leasowe and Moreton East,"random,correct,partial"
Toller,near,Wyke,north,Brinnington and Central,"Toller is near Wyke, north Brinnington and Central",Which city is near to Wyke and also north from Brinnington and Central?,"A. Worsley Mesnes
B. Barnes
C. Toller",C. Toller,"random,partial,correct"
Toller,close,Kirkburton,east,Smithills,"Toller is close Kirkburton, east Smithills",Which city is close to Kirkburton and also east from Smithills?,"A. Toller
B. Stalybridge North
C. Milkstone and Deeplish",A. Toller,"correct,random,partial"
Toller,distant,Withington,west,Morley West Yorkshire,"Toller is distant Withington, west Morley West Yorkshire",Which city is distant to Withington and also west from Morley West Yorkshire?,"A. Milnrow and Newhey
B. Rock Ferry
C. Toller",C. Toller,"random,partial,correct"
Toller,far,Whitley Bay,south,Beacon and Bents,"Toller is far Whitley Bay, south Beacon and Bents",Which city is far to Whitley Bay and also south from Beacon and Bents?,"A. Leigh East
B. Toller
C. Crofton Ryhill and Walton",B. Toller,"random,correct,partial"
Windle St Helens,distant,Withington,west,North Manor,"Windle St Helens is distant Withington, west North Manor",Which city is distant to Withington and also west from North Manor?,"A. Parr
B. Windle St Helens
C. Longbridge",B. Windle St Helens,"partial,correct,random"
Windle St Helens,far,Blakelaw and North Fenham,south,Harton,"Windle St Helens is far Blakelaw and North Fenham, south Harton",Which city is far to Blakelaw and North Fenham and also south from Harton?,"A. Birstall and Birkenshaw
B. Windle St Helens
C. Church",B. Windle St Helens,"random,correct,partial"
Gleadless Valley,near,Graves Park,west,Rossington,"Gleadless Valley is near Graves Park, west Rossington",Which city is near to Graves Park and also west from Rossington?,"A. Ashton upon Mersey
B. Gleadless Valley
C. Cheetham",B. Gleadless Valley,"partial,correct,random"
Gleadless Valley,close,Wombwell,south,Warley,"Gleadless Valley is close Wombwell, south Warley",Which city is close to Wombwell and also south from Warley?,"A. Gleadless Valley
B. Thatto Heath
C. Ladywood",A. Gleadless Valley,"correct,random,partial"
Gleadless Valley,distant,Reddish South,east,Ramsbottom,"Gleadless Valley is distant Reddish South, east Ramsbottom",Which city is distant to Reddish South and also east from Ramsbottom?,"A. Gleadless Valley
B. Heckmondwike
C. Northwood",A. Gleadless Valley,"correct,partial,random"
Gleadless Valley,far,St. Mary's,north,Hayley Green and Cradley South,"Gleadless Valley is far St. Mary's, north Hayley Green and Cradley South",Which city is far to St. Mary's and also north from Hayley Green and Cradley South?,"A. Failsworth East
B. Gleadless Valley
C. Spotland and Falinge",B. Gleadless Valley,"partial,correct,random"
Sitwell,near,Wickersley,south,Silksworth,"Sitwell is near Wickersley, south Silksworth",Which city is near to Wickersley and also south from Silksworth?,"A. Liversedge and Gomersal
B. Sitwell
C. Horsforth",B. Sitwell,"partial,correct,random"
Sitwell,close,South Elmsall and South Kirkby,east,Heswall,"Sitwell is close South Elmsall and South Kirkby, east Heswall",Which city is close to South Elmsall and South Kirkby and also east from Heswall?,"A. Davenport and Cale Green
B. Sitwell
C. Guiseley and Rawdon",B. Sitwell,"partial,correct,random"
Sitwell,distant,Holme Valley,north,Moseley and Kings Heath,"Sitwell is distant Holme Valley, north Moseley and Kings Heath",Which city is distant to Holme Valley and also north from Moseley and Kings Heath?,"A. Sitwell
B. Darlaston South
C. Waterhead",A. Sitwell,"correct,random,partial"
Sitwell,far,Washington Central,west,Dinnington St. John's,"Sitwell is far Washington Central, west Dinnington St. John's",Which city is far to Washington Central and also west from Dinnington St. John's?,"A. Sitwell
B. Graves Park
C. Thornton and Allerton",A. Sitwell,"correct,random,partial"
Harton,near,Simonside and Rekendyke,north,Coseley East,"Harton is near Simonside and Rekendyke, north Coseley East",Which city is near to Simonside and Rekendyke and also north from Coseley East?,"A. Harton
B. Burnage
C. Darfield",A. Harton,"correct,partial,random"
Harton,close,Monkseaton North,east,Westgate,"Harton is close Monkseaton North, east Westgate",Which city is close to Monkseaton North and also east from Westgate?,"A. Dunston and Teams
B. Harton
C. Shirley West",B. Harton,"partial,correct,random"
Harton,distant,Lemington,west,Whitburn and Marsden,"Harton is distant Lemington, west Whitburn and Marsden",Which city is distant to Lemington and also west from Whitburn and Marsden?,"A. Harton
B. Blaydon
C. South Middleton",A. Harton,"correct,partial,random"
Harton,far,Shevington with Lower Ground,south,Tynemouth,"Harton is far Shevington with Lower Ground, south Tynemouth",Which city is far to Shevington with Lower Ground and also south from Tynemouth?,"A. Harton
B. Fulwood
C. Oscott",A. Harton,"correct,partial,random"
Wombwell,near,Worsbrough,south,Batley West,"Wombwell is near Worsbrough, south Batley West",Which city is near to Worsbrough and also south from Batley West?,"A. Binley and Willenhall
B. Wombwell
C. Fawdon",B. Wombwell,"partial,correct,random"
Wombwell,close,Conisbrough Parks,east,Cadishead,"Wombwell is close Conisbrough Parks, east Cadishead",Which city is close to Conisbrough Parks and also east from Cadishead?,"A. Waterhead
B. Leigh West
C. Wombwell",C. Wombwell,"partial,random,correct"
Wombwell,distant,Finningley,north,Pelsall,"Wombwell is distant Finningley, north Pelsall",Which city is distant to Finningley and also north from Pelsall?,"A. Wombwell
B. Liversedge and Gomersal
C. Roundhay",A. Wombwell,"correct,partial,random"
Wombwell,far,Woodhouse Park,west,Rossington,"Wombwell is far Woodhouse Park, west Rossington",Which city is far to Woodhouse Park and also west from Rossington?,"A. Wombwell
B. Bede
C. Graiseley",A. Wombwell,"correct,random,partial"
Westgate,near,Whickham South and Sunniside,north,Thorne & Moorends,"Westgate is near Whickham South and Sunniside, north Thorne & Moorends",Which city is near to Whickham South and Sunniside and also north from Thorne & Moorends?,"A. Wardley and Leam Lane
B. Heaton
C. Westgate",C. Westgate,"partial,random,correct"
Westgate,close,Whiteleas,west,Preston,"Westgate is close Whiteleas, west Preston",Which city is close to Whiteleas and also west from Preston?,"A. Bamford
B. Wallsend
C. Westgate",C. Westgate,"random,partial,correct"
Westgate,far,Westwood,east,Chopwell and Rowlands Gill,"Westgate is far Westwood, east Chopwell and Rowlands Gill",Which city is far to Westwood and also east from Chopwell and Rowlands Gill?,"A. Westgate
B. St. Helens
C. Bradford Moor",A. Westgate,"correct,partial,random"
Fawdon,near,Wingrove,east,Crawcrook and Greenside,"Fawdon is near Wingrove, east Crawcrook and Greenside",Which city is near to Wingrove and also east from Crawcrook and Greenside?,"A. North Jesmond
B. Besses
C. Fawdon",C. Fawdon,"partial,random,correct"
Fawdon,close,Tynemouth,north,Cadishead,"Fawdon is close Tynemouth, north Cadishead",Which city is close to Tynemouth and also north from Cadishead?,"A. East Middleton
B. Unsworth
C. Fawdon",C. Fawdon,"random,partial,correct"
Fawdon,distant,Ryhope,west,Cullercoats,"Fawdon is distant Ryhope, west Cullercoats",Which city is distant to Ryhope and also west from Cullercoats?,"A. Fawdon
B. West Gosforth
C. Armthorpe",A. Fawdon,"correct,partial,random"
Fawdon,far,Wales South Yorkshire,south,Weetslade,"Fawdon is far Wales South Yorkshire, south Weetslade",Which city is far to Wales South Yorkshire and also south from Weetslade?,"A. Aston
B. Fawdon
C. Denton North East",B. Fawdon,"partial,correct,random"
Roman Ridge,near,Town,east,Walkley,"Roman Ridge is near Town, east Walkley",Which city is near to Town and also east from Walkley?,"A. Woodhouse
B. Ossett
C. Roman Ridge",C. Roman Ridge,"partial,random,correct"
Roman Ridge,close,Swinton,north,St. Peter's,"Roman Ridge is close Swinton, north St. Peter's",Which city is close to Swinton and also north from St. Peter's?,"A. Horsley Hill
B. St. Anne's
C. Roman Ridge",C. Roman Ridge,"partial,random,correct"
Roman Ridge,distant,Royds,south,Kippax West Yorkshire,"Roman Ridge is distant Royds, south Kippax West Yorkshire",Which city is distant to Royds and also south from Kippax West Yorkshire?,"A. Roman Ridge
B. Urmston
C. Hayley Green and Cradley South",A. Roman Ridge,"correct,random,partial"
Roman Ridge,far,Astley Village,west,Bentley,"Roman Ridge is far Astley Village, west Bentley",Which city is far to Astley Village and also west from Bentley?,"A. Brownhills
B. Dodworth
C. Roman Ridge",C. Roman Ridge,"partial,random,correct"
Adwick le Street & Carcroft,near,Roman Ridge,east,Kearsley,"Adwick le Street & Carcroft is near Roman Ridge, east Kearsley",Which city is near to Roman Ridge and also east from Kearsley?,"A. Adwick le Street & Carcroft
B. Norton & Askern
C. Chirton",A. Adwick le Street & Carcroft,"correct,partial,random"
Adwick le Street & Carcroft,close,Pontefract North,south,Fellgate and Hedworth,"Adwick le Street & Carcroft is close Pontefract North, south Fellgate and Hedworth",Which city is close to Pontefract North and also south from Fellgate and Hedworth?,"A. Adwick le Street & Carcroft
B. Irlam
C. Derby",A. Adwick le Street & Carcroft,"correct,partial,random"
Adwick le Street & Carcroft,distant,Manningham,north,Halesowen South,"Adwick le Street & Carcroft is distant Manningham, north Halesowen South",Which city is distant to Manningham and also north from Halesowen South?,"A. Adwick le Street & Carcroft
B. Whiston & Cronton
C. Pelsall",A. Adwick le Street & Carcroft,"correct,partial,random"
Adwick le Street & Carcroft,far,Aspull New Springs Whelley,west,Hatfield,"Adwick le Street & Carcroft is far Aspull New Springs Whelley, west Hatfield",Which city is far to Aspull New Springs Whelley and also west from Hatfield?,"A. Wednesbury South
B. Flixton
C. Adwick le Street & Carcroft",C. Adwick le Street & Carcroft,"random,partial,correct"
Princes End,near,Tividale,south,Westhoughton North and Chew Moor,"Princes End is near Tividale, south Westhoughton North and Chew Moor",Which city is near to Tividale and also south from Westhoughton North and Chew Moor?,"A. Princes End
B. Hyde Newton
C. Doxey",A. Princes End,"correct,random,partial"
Princes End,close,St. Peter's,west,Nechells,"Princes End is close St. Peter's, west Nechells",Which city is close to St. Peter's and also west from Nechells?,"A. Southey
B. Princes End
C. Belle Vale",B. Princes End,"random,correct,partial"
Princes End,distant,St. Michael's,east,Ettingshall,"Princes End is distant St. Michael's, east Ettingshall",Which city is distant to St. Michael's and also east from Ettingshall?,"A. Newton
B. Princes End
C. Netherton Woodside and St. Andrews",B. Princes End,"partial,correct,random"
Princes End,far,Finningley,north,Oldbury,"Princes End is far Finningley, north Oldbury",Which city is far to Finningley and also north from Oldbury?,"A. Princes End
B. Ardsley and Robin Hood
C. Aston",A. Princes End,"correct,random,partial"
Crumpsall,near,Kersal,west,Stainforth & Barnby Dun,"Crumpsall is near Kersal, west Stainforth & Barnby Dun",Which city is near to Kersal and also west from Stainforth & Barnby Dun?,"A. Hoyland Milton
B. Hoober
C. Crumpsall",C. Crumpsall,"random,partial,correct"
Crumpsall,close,Hyde Werneth,north,Whoberley,"Crumpsall is close Hyde Werneth, north Whoberley",Which city is close to Hyde Werneth and also north from Whoberley?,"A. City Centre
B. Crumpsall
C. Droylsden West",B. Crumpsall,"partial,correct,random"
Crumpsall,distant,Windle St Helens,south,Illingworth and Mixenden,"Crumpsall is distant Windle St Helens, south Illingworth and Mixenden",Which city is distant to Windle St Helens and also south from Illingworth and Mixenden?,"A. Willenhall South
B. East Gosforth
C. Crumpsall",C. Crumpsall,"partial,random,correct"
Crumpsall,far,Wombwell,east,Walkden North,"Crumpsall is far Wombwell, east Walkden North",Which city is far to Wombwell and also east from Walkden North?,"A. Crumpsall
B. Radcliffe East
C. Henley",A. Crumpsall,"correct,random,partial"
Aspull New Springs Whelley,near,Wigan West,west,Barton,"Aspull New Springs Whelley is near Wigan West, west Barton",Which city is near to Wigan West and also west from Barton?,"A. Greenbank
B. Greasby Frankby and Irby
C. Aspull New Springs Whelley",C. Aspull New Springs Whelley,"partial,random,correct"
Aspull New Springs Whelley,close,Radcliffe North,north,Mossley Hill,"Aspull New Springs Whelley is close Radcliffe North, north Mossley Hill",Which city is close to Radcliffe North and also north from Mossley Hill?,"A. Longbenton
B. Eastham
C. Aspull New Springs Whelley",C. Aspull New Springs Whelley,"partial,random,correct"
Aspull New Springs Whelley,distant,Park,south,Wallsend,"Aspull New Springs Whelley is distant Park, south Wallsend",Which city is distant to Park and also south from Wallsend?,"A. Thornton and Allerton
B. Meols
C. Aspull New Springs Whelley",C. Aspull New Springs Whelley,"partial,random,correct"
Aspull New Springs Whelley,far,Great Barr with Yew Tree,east,Park,"Aspull New Springs Whelley is far Great Barr with Yew Tree, east Park",Which city is far to Great Barr with Yew Tree and also east from Park?,"A. Bingley
B. Blackrod
C. Aspull New Springs Whelley",C. Aspull New Springs Whelley,"random,partial,correct"
Shevington,close,Sutton Weaver (civil parish),west,Hale Central,"Shevington is close Sutton Weaver (civil parish), west Hale Central",Which city is close to Sutton Weaver (civil parish) and also west from Hale Central?,"A. Royston
B. Shevington
C. West Park",B. Shevington,"random,correct,partial"
Shevington,distant,Westhoughton,north,Lyndon,"Shevington is distant Westhoughton, north Lyndon",Which city is distant to Westhoughton and also north from Lyndon?,"A. Aldridge Central and South
B. Shevington
C. Ackworth North Elmsall and Upton",B. Shevington,"random,correct,partial"
Shevington,far,Wickersley,south,St. Peter's,"Shevington is far Wickersley, south St. Peter's",Which city is far to Wickersley and also south from St. Peter's?,"A. Penistone East
B. Wollaston and Stourbridge Town
C. Shevington",C. Shevington,"random,partial,correct"
Shipley,near,Windhill and Wrose,north,Chadderton North,"Shipley is near Windhill and Wrose, north Chadderton North",Which city is near to Windhill and Wrose and also north from Chadderton North?,"A. Castle and Priory
B. South Jesmond
C. Shipley",C. Shipley,"random,partial,correct"
Shipley,close,Town,east,Smithills,"Shipley is close Town, east Smithills",Which city is close to Town and also east from Smithills?,"A. Beauchief & Greenhill
B. Shipley
C. Cradley Heath and Old Hill",B. Shipley,"partial,correct,random"
Shipley,distant,Hemsworth,west,Windhill and Wrose,"Shipley is distant Hemsworth, west Windhill and Wrose",Which city is distant to Hemsworth and also west from Windhill and Wrose?,"A. Bilston North
B. Shipley
C. Aspull New Springs Whelley",B. Shipley,"random,correct,partial"
Shipley,far,Short Heath,south,Crawcrook and Greenside,"Shipley is far Short Heath, south Crawcrook and Greenside",Which city is far to Short Heath and also south from Crawcrook and Greenside?,"A. Shipley
B. Wakefield North
C. West Heywood",A. Shipley,"correct,random,partial"
Darlaston South,near,St. Thomas's,west,Upper Stoke,"Darlaston South is near St. Thomas's, west Upper Stoke",Which city is near to St. Thomas's and also west from Upper Stoke?,"A. Darlaston South
B. Halesowen North
C. Hyde Werneth",A. Darlaston South,"correct,partial,random"
Darlaston South,close,Oscott,south,Dearne North,"Darlaston South is close Oscott, south Dearne North",Which city is close to Oscott and also south from Dearne North?,"A. Penistone East
B. Darlaston South
C. Bloxwich East",B. Darlaston South,"random,correct,partial"
Darlaston South,distant,Olton,north,Shirley South,"Darlaston South is distant Olton, north Shirley South",Which city is distant to Olton and also north from Shirley South?,"A. Harewood
B. Kingswinford South
C. Darlaston South",C. Darlaston South,"random,partial,correct"
Darlaston South,far,Linacre,east,Kingswinford South,"Darlaston South is far Linacre, east Kingswinford South",Which city is far to Linacre and also east from Kingswinford South?,"A. Heatons South
B. Darlaston South
C. Dene",B. Darlaston South,"random,correct,partial"
Short Heath,near,Wednesbury South,south,Pontefract North,"Short Heath is near Wednesbury South, south Pontefract North",Which city is near to Wednesbury South and also south from Pontefract North?,"A. Wollaston and Stourbridge Town
B. Quarry Bank and Dudley Wood
C. Short Heath",C. Short Heath,"random,partial,correct"
Short Heath,close,St. Peter's,north,Lyndon,"Short Heath is close St. Peter's, north Lyndon",Which city is close to St. Peter's and also north from Lyndon?,"A. Ecclesall
B. Linacre
C. Short Heath",C. Short Heath,"partial,random,correct"
Short Heath,distant,Sherbourne Warwickshire,west,Great Barr with Yew Tree,"Short Heath is distant Sherbourne Warwickshire, west Great Barr with Yew Tree",Which city is distant to Sherbourne Warwickshire and also west from Great Barr with Yew Tree?,"A. Short Heath
B. Otley and Yeadon
C. Ladywood",A. Short Heath,"correct,random,partial"
Short Heath,far,St. Mary's,east,Bushbury North,"Short Heath is far St. Mary's, east Bushbury North",Which city is far to St. Mary's and also east from Bushbury North?,"A. Castle Bromwich
B. Short Heath
C. Bentley and Darlaston North",B. Short Heath,"random,correct,partial"
Wales South Yorkshire,near,Dinnington St. John's,east,Wavertree,"Wales South Yorkshire is near Dinnington St. John's, east Wavertree",Which city is near to Dinnington St. John's and also east from Wavertree?,"A. Hall Green
B. Wales South Yorkshire
C. North Manor",B. Wales South Yorkshire,"random,correct,partial"
Wales South Yorkshire,close,Sprotbrough and Cusworth,south,Stanley and Outwood East,"Wales South Yorkshire is close Sprotbrough and Cusworth, south Stanley and Outwood East",Which city is close to Sprotbrough and Cusworth and also south from Stanley and Outwood East?,"A. Wales South Yorkshire
B. Graves Park
C. Blackrod",A. Wales South Yorkshire,"correct,partial,random"
Wales South Yorkshire,distant,Wetherby,north,Brierley Hill,"Wales South Yorkshire is distant Wetherby, north Brierley Hill",Which city is distant to Wetherby and also north from Brierley Hill?,"A. Old Warley
B. Killingbeck and Seacroft
C. Wales South Yorkshire",C. Wales South Yorkshire,"random,partial,correct"
Wales South Yorkshire,far,Blakelaw and North Fenham,west,Anston and Woodsetts,"Wales South Yorkshire is far Blakelaw and North Fenham, west Anston and Woodsetts",Which city is far to Blakelaw and North Fenham and also west from Anston and Woodsetts?,"A. Halewood
B. Cleckheaton
C. Wales South Yorkshire",C. Wales South Yorkshire,"partial,random,correct"
Stannington,near,West Ecclesfield,east,Ashton,"Stannington is near West Ecclesfield, east Ashton",Which city is near to West Ecclesfield and also east from Ashton?,"A. Picton Cheshire
B. Offerton Park
C. Stannington",C. Stannington,"random,partial,correct"
Stannington,close,Sprotbrough and Cusworth,west,Armthorpe,"Stannington is close Sprotbrough and Cusworth, west Armthorpe",Which city is close to Sprotbrough and Cusworth and also west from Armthorpe?,"A. Stannington
B. Dinnington St. John's
C. Howdon",A. Stannington,"correct,partial,random"
Stannington,distant,Thornton and Allerton,north,Castle Bromwich,"Stannington is distant Thornton and Allerton, north Castle Bromwich",Which city is distant to Thornton and Allerton and also north from Castle Bromwich?,"A. Silksworth
B. Castle
C. Stannington",C. Stannington,"random,partial,correct"
Stannington,far,Wavertree,south,City,"Stannington is far Wavertree, south City",Which city is far to Wavertree and also south from City?,"A. Killingbeck and Seacroft
B. Stannington
C. Tynemouth",B. Stannington,"partial,correct,random"
Wednesfield South,near,Willenhall North,south,Weetwood,"Wednesfield South is near Willenhall North, south Weetwood",Which city is near to Willenhall North and also south from Weetwood?,"A. Wednesfield South
B. Didsbury West
C. Moortown",A. Wednesfield South,"correct,partial,random"
Wednesfield South,close,Wordsley,west,Perry Barr,"Wednesfield South is close Wordsley, west Perry Barr",Which city is close to Wordsley and also west from Perry Barr?,"A. Wednesfield South
B. Gornal
C. Bowdon",A. Wednesfield South,"correct,partial,random"
Wednesfield South,distant,Wyken,north,Blythe,"Wednesfield South is distant Wyken, north Blythe",Which city is distant to Wyken and also north from Blythe?,"A. Walkden North
B. Harton
C. Wednesfield South",C. Wednesfield South,"partial,random,correct"
Wednesfield South,far,Astley Village,east,Tettenhall Wightwick,"Wednesfield South is far Astley Village, east Tettenhall Wightwick",Which city is far to Astley Village and also east from Tettenhall Wightwick?,"A. Wednesfield South
B. Chopwell and Rowlands Gill
C. Whitburn and Marsden",A. Wednesfield South,"correct,random,partial"
Leigh West,near,Tyldesley,west,Wingfield,"Leigh West is near Tyldesley, west Wingfield",Which city is near to Tyldesley and also west from Wingfield?,"A. Leigh West
B. Baguley
C. Davyhulme East",A. Leigh West,"correct,random,partial"
Leigh West,close,Windle St Helens,south,Standish with Langtree,"Leigh West is close Windle St Helens, south Standish with Langtree",Which city is close to Windle St Helens and also south from Standish with Langtree?,"A. Valley
B. Leigh West
C. Rainford",B. Leigh West,"random,correct,partial"
Leigh West,distant,Thornton and Allerton,north,Billesley,"Leigh West is distant Thornton and Allerton, north Billesley",Which city is distant to Thornton and Allerton and also north from Billesley?,"A. Leigh West
B. Benton
C. St. Matthew's",A. Leigh West,"correct,partial,random"
Leigh West,far,Stairfoot,east,St. Oswald,"Leigh West is far Stairfoot, east St. Oswald",Which city is far to Stairfoot and also east from St. Oswald?,"A. Leigh West
B. Windhill and Wrose
C. Holyrood",A. Leigh West,"correct,random,partial"
Springfield,near,St. Alphege,south,Rockingham,"Springfield is near St. Alphege, south Rockingham",Which city is near to St. Alphege and also south from Rockingham?,"A. Springfield
B. St. Pauls
C. Skircoat",A. Springfield,"correct,partial,random"
Springfield,close,Weoley,east,Weoley,"Springfield is close Weoley, east Weoley",Which city is close to Weoley and also east from Weoley?,"A. Springfield
B. Molyneux
C. Bloxwich West",A. Springfield,"correct,random,partial"
Springfield,distant,Doxey,west,Shard End,"Springfield is distant Doxey, west Shard End",Which city is distant to Doxey and also west from Shard End?,"A. Springfield
B. East Park
C. Bede",A. Springfield,"correct,partial,random"
Springfield,far,Wath,north,Billesley,"Springfield is far Wath, north Billesley",Which city is far to Wath and also north from Billesley?,"A. Bradford
B. Dukinfield Stalybridge
C. Springfield",C. Springfield,"partial,random,correct"
Westhoughton,close,Windle St Helens,west,Castleton,"Westhoughton is close Windle St Helens, west Castleton",Which city is close to Windle St Helens and also west from Castleton?,"A. Westhoughton
B. St. Michael's
C. Rock Ferry",A. Westhoughton,"correct,partial,random"
Westhoughton,distant,Withington,north,Friar Park,"Westhoughton is distant Withington, north Friar Park",Which city is distant to Withington and also north from Friar Park?,"A. Swinton
B. Harewood
C. Westhoughton",C. Westhoughton,"partial,random,correct"
Westhoughton,far,Dinnington St. John's,south,Parklands,"Westhoughton is far Dinnington St. John's, south Parklands",Which city is far to Dinnington St. John's and also south from Parklands?,"A. Bilston East
B. Westhoughton
C. Penistone East",B. Westhoughton,"random,correct,partial"
Whalley Range,near,Withington,south,Parklands,"Whalley Range is near Withington, south Parklands",Which city is near to Withington and also south from Parklands?,"A. Luddendenfoot
B. Whalley Range
C. Wickersley",B. Whalley Range,"random,correct,partial"
Whalley Range,close,Worsley,west,Gorton North,"Whalley Range is close Worsley, west Gorton North",Which city is close to Worsley and also west from Gorton North?,"A. Whalley Range
B. Otley and Yeadon
C. North Manor",A. Whalley Range,"correct,random,partial"
Whalley Range,distant,Yew Tree,east,Duke's,"Whalley Range is distant Yew Tree, east Duke's",Which city is distant to Yew Tree and also east from Duke's?,"A. Ecclesall
B. Whalley Range
C. Clifford",B. Whalley Range,"random,correct,partial"
