place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Lye and Stourbridge North,west,Sutton Trinity,within,West Midlands Euro Region,near,Wollaston and Stourbridge Town,"Lye and Stourbridge North within West Midlands Euro Region, near to Wollaston and Stourbridge Town, and west of Sutton Trinity",Which city is within West Midlands Euro Region and also near to Wollaston and Stourbridge Town and west of Sutton Trinity?,"A. St. Thomas's
B. Graiseley
C. Lye and Stourbridge North",C. Lye and Stourbridge North,"random,partial,correct"
Dewsbury West,west,Featherstone,within,Yorkshire and the Humber Euro Region,near,Wakefield Rural,"Dewsbury West within Yorkshire and the Humber Euro Region, near to Wakefield Rural, and west of Featherstone",Which city is within Yorkshire and the Humber Euro Region and also near to Wakefield Rural and west of Featherstone?,"A. Weetwood
B. Dewsbury West
C. Bradford Moor",B. Dewsbury West,"random,correct,partial"
Bredbury Green and Romiley,west,Worsbrough,within,Metropolitan Borough of Stockport,near,Denton North East,"Bredbury Green and Romiley within Metropolitan Borough of Stockport, near to Denton North East, and west of Worsbrough",Which city is within Metropolitan Borough of Stockport and also near to Denton North East and west of Worsbrough?,"A. Bartley Green
B. Bramhall North
C. Bredbury Green and Romiley",C. Bredbury Green and Romiley,"random,partial,correct"
Cleckheaton,west,Horbury and South Ossett,within,Yorkshire and the Humber Euro Region,near,Royds,"Cleckheaton within Yorkshire and the Humber Euro Region, near to Royds, and west of Horbury and South Ossett",Which city is within Yorkshire and the Humber Euro Region and also near to Royds and west of Horbury and South Ossett?,"A. Cleckheaton
B. Adel and Wharfedale
C. Bingley Rural",A. Cleckheaton,"correct,random,partial"
North Middleton,west,Silverwood,within,North West Euro Region,near,Spotland and Falinge,"North Middleton within North West Euro Region, near to Spotland and Falinge, and west of Silverwood",Which city is within North West Euro Region and also near to Spotland and Falinge and west of Silverwood?,"A. Liscard
B. Greenhead
C. North Middleton",C. North Middleton,"partial,random,correct"
Walkden North,west,Kirkstall,within,City of Salford,near,Weaste and Seedley,"Walkden North within City of Salford, near to Weaste and Seedley, and west of Kirkstall",Which city is within City of Salford and also near to Weaste and Seedley and west of Kirkstall?,"A. Liverpool
B. Walkden North
C. Pendlebury",B. Walkden North,"random,correct,partial"
Darnall,west,Thorne & Moorends,within,Sheffield,near,Keppel,"Darnall within Sheffield, near to Keppel, and west of Thorne & Moorends",Which city is within Sheffield and also near to Keppel and west of Thorne & Moorends?,"A. Hoyland Milton
B. Washington West
C. Darnall",C. Darnall,"partial,random,correct"
Halesowen South,west,Holbrook,within,Metropolitan Borough of Dudley,near,Langley,"Halesowen South within Metropolitan Borough of Dudley, near to Langley, and west of Holbrook",Which city is within Metropolitan Borough of Dudley and also near to Langley and west of Holbrook?,"A. Upper Gornal and Woodsetton
B. Halesowen South
C. Denton West",B. Halesowen South,"partial,correct,random"
Charlemont with Grove Vale,west,Foleshill,within,West Midlands Euro Region,near,Smethwick,"Charlemont with Grove Vale within West Midlands Euro Region, near to Smethwick, and west of Foleshill",Which city is within West Midlands Euro Region and also near to Smethwick and west of Foleshill?,"A. Charlemont with Grove Vale
B. Lyndon
C. Wigan Central",A. Charlemont with Grove Vale,"correct,partial,random"
Lindley,west,Crofton Ryhill and Walton,within,Yorkshire and the Humber Euro Region,near,Sowerby Bridge,"Lindley within Yorkshire and the Humber Euro Region, near to Sowerby Bridge, and west of Crofton Ryhill and Walton",Which city is within Yorkshire and the Humber Euro Region and also near to Sowerby Bridge and west of Crofton Ryhill and Walton?,"A. Lindley
B. Rastrick
C. Denton West",A. Lindley,"correct,partial,random"
Perry Barr,west,Hodge Hill,within,Birmingham,near,South Yardley,"Perry Barr within Birmingham, near to South Yardley, and west of Hodge Hill",Which city is within Birmingham and also near to South Yardley and west of Hodge Hill?,"A. Eccles
B. Perry Barr
C. Sheldon",B. Perry Barr,"random,correct,partial"
Hoober,west,Rossington,within,Metropolitan Borough of Rotherham,near,Worsbrough,"Hoober within Metropolitan Borough of Rotherham, near to Worsbrough, and west of Rossington",Which city is within Metropolitan Borough of Rotherham and also near to Worsbrough and west of Rossington?,"A. Prescot
B. Hoober
C. Darton East",B. Hoober,"random,correct,partial"
Mexborough,west,Bessacarr,within,Metropolitan Borough of Doncaster,near,North East,"Mexborough within Metropolitan Borough of Doncaster, near to North East, and west of Bessacarr",Which city is within Metropolitan Borough of Doncaster and also near to North East and west of Bessacarr?,"A. Mexborough
B. Wales South Yorkshire
C. Ackworth North Elmsall and Upton",A. Mexborough,"correct,random,partial"
Ettingshall,west,Foleshill,within,West Midlands Euro Region,near,Wednesbury South,"Ettingshall within West Midlands Euro Region, near to Wednesbury South, and west of Foleshill",Which city is within West Midlands Euro Region and also near to Wednesbury South and west of Foleshill?,"A. Wrenthorpe and Outwood West
B. Tettenhall Wightwick
C. Ettingshall",C. Ettingshall,"random,partial,correct"
Holme Valley,west,Denby Dale,within,Kirklees,near,Penistone,"Holme Valley within Kirklees, near to Penistone, and west of Denby Dale",Which city is within Kirklees and also near to Penistone and west of Denby Dale?,"A. High Fell
B. St. Mary's
C. Holme Valley",C. Holme Valley,"random,partial,correct"
Douglas,west,Wharfedale,within,Metropolitan Borough of Wigan,near,Standish with Langtree,"Douglas within Metropolitan Borough of Wigan, near to Standish with Langtree, and west of Wharfedale",Which city is within Metropolitan Borough of Wigan and also near to Standish with Langtree and west of Wharfedale?,"A. Douglas
B. Hindley
C. Metropolitan Borough of St Helens",A. Douglas,"correct,partial,random"
Kensington and Fairfield,west,Craven,within,Liverpool,near,Yew Tree,"Kensington and Fairfield within Liverpool, near to Yew Tree, and west of Craven",Which city is within Liverpool and also near to Yew Tree and west of Craven?,"A. West Derby
B. Kensington and Fairfield
C. Dearne North",B. Kensington and Fairfield,"partial,correct,random"
Heaton and Lostock,west,Orgreave South Yorkshire,within,North West Euro Region,near,Tonge with the Haulgh,"Heaton and Lostock within North West Euro Region, near to Tonge with the Haulgh, and west of Orgreave South Yorkshire",Which city is within North West Euro Region and also near to Tonge with the Haulgh and west of Orgreave South Yorkshire?,"A. Whickham South and Sunniside
B. Heaton and Lostock
C. Moreton West and Saughall Massie",B. Heaton and Lostock,"random,correct,partial"
Bradford Moor,west,Pontefract North,within,Yorkshire and the Humber Euro Region,near,Idle and Thackley,"Bradford Moor within Yorkshire and the Humber Euro Region, near to Idle and Thackley, and west of Pontefract North",Which city is within Yorkshire and the Humber Euro Region and also near to Idle and Thackley and west of Pontefract North?,"A. Horbury and South Ossett
B. Bradford Moor
C. Ashton Waterloo",B. Bradford Moor,"partial,correct,random"
Monkseaton South,west,Tynemouth,within,North East Euro Region,near,Valley,"Monkseaton South within North East Euro Region, near to Valley, and west of Tynemouth",Which city is within North East Euro Region and also near to Valley and west of Tynemouth?,"A. Monkseaton South
B. Benwell and Scotswood
C. Windhill and Wrose",A. Monkseaton South,"correct,partial,random"
Halesowen North,west,Silhill,within,West Midlands Euro Region,near,Finstall,"Halesowen North within West Midlands Euro Region, near to Finstall, and west of Silhill",Which city is within West Midlands Euro Region and also near to Finstall and west of Silhill?,"A. Halesowen North
B. Upper Gornal and Woodsetton
C. Shirley West",A. Halesowen North,"correct,random,partial"
Seacombe,west,Mossley Hill,within,Metropolitan Borough of Wirral,close,Rainford,"Seacombe within Metropolitan Borough of Wirral, close to Rainford, and west of Mossley Hill",Which city is within Metropolitan Borough of Wirral and also close to Rainford and west of Mossley Hill?,"A. Heatons South
B. Seacombe
C. St. Michael's",B. Seacombe,"random,correct,partial"
Monk Bretton,west,Rossington,within,Yorkshire and the Humber Euro Region,close,Ossett,"Monk Bretton within Yorkshire and the Humber Euro Region, close to Ossett, and west of Rossington",Which city is within Yorkshire and the Humber Euro Region and also close to Ossett and west of Rossington?,"A. St. Gabriels
B. Ackworth North Elmsall and Upton
C. Monk Bretton",C. Monk Bretton,"random,partial,correct"
Chelmsley Wood,west,Whoberley,within,Metropolitan Borough of Solihull,close,Meriden West Midlands,"Chelmsley Wood within Metropolitan Borough of Solihull, close to Meriden West Midlands, and west of Whoberley",Which city is within Metropolitan Borough of Solihull and also close to Meriden West Midlands and west of Whoberley?,"A. Ladywood
B. Chelmsley Wood
C. Heckmondwike",B. Chelmsley Wood,"partial,correct,random"
Thornton and Allerton,west,Mexborough,within,Yorkshire and the Humber Euro Region,close,Todmorden,"Thornton and Allerton within Yorkshire and the Humber Euro Region, close to Todmorden, and west of Mexborough",Which city is within Yorkshire and the Humber Euro Region and also close to Todmorden and west of Mexborough?,"A. Unsworth
B. Thornton and Allerton
C. Copt Hill",B. Thornton and Allerton,"partial,correct,random"
Simonside and Rekendyke,west,Cleadon Park,within,South Tyneside,close,Walker,"Simonside and Rekendyke within South Tyneside, close to Walker, and west of Cleadon Park",Which city is within South Tyneside and also close to Walker and west of Cleadon Park?,"A. Bucklow-St. Martins
B. Simonside and Rekendyke
C. Primrose",B. Simonside and Rekendyke,"random,correct,partial"
Crompton,west,Dukinfield,within,Metropolitan Borough of Oldham,close,Ordsall,"Crompton within Metropolitan Borough of Oldham, close to Ordsall, and west of Dukinfield",Which city is within Metropolitan Borough of Oldham and also close to Ordsall and west of Dukinfield?,"A. Whitefield
B. Failsworth West
C. Crompton",C. Crompton,"random,partial,correct"
Heatons South,west,Bredbury and Woodley,within,North West Euro Region,close,Weaste and Seedley,"Heatons South within North West Euro Region, close to Weaste and Seedley, and west of Bredbury and Woodley",Which city is within North West Euro Region and also close to Weaste and Seedley and west of Bredbury and Woodley?,"A. Burnage
B. Moss Side
C. Heatons South",C. Heatons South,"random,partial,correct"
St. James's,west,Washwood Heath,within,Metropolitan Borough of Dudley,close,Tettenhall Regis,"St. James's within Metropolitan Borough of Dudley, close to Tettenhall Regis, and west of Washwood Heath",Which city is within Metropolitan Borough of Dudley and also close to Tettenhall Regis and west of Washwood Heath?,"A. Quinton
B. Kirkstall
C. St. James's",C. St. James's,"partial,random,correct"
Bushbury North,west,Oscott,within,West Midlands Euro Region,close,Pheasey Park Farm,"Bushbury North within West Midlands Euro Region, close to Pheasey Park Farm, and west of Oscott",Which city is within West Midlands Euro Region and also close to Pheasey Park Farm and west of Oscott?,"A. Bushbury North
B. Quarry Bank and Dudley Wood
C. Kenton",A. Bushbury North,"correct,partial,random"
Chorlton,west,Mexborough,within,North West Euro Region,close,Saddleworth West and Lees,"Chorlton within North West Euro Region, close to Saddleworth West and Lees, and west of Mexborough",Which city is within North West Euro Region and also close to Saddleworth West and Lees and west of Mexborough?,"A. Toller
B. Chorlton
C. Failsworth West",B. Chorlton,"random,correct,partial"
Aldridge Central and South,west,Bablake,within,West Midlands Euro Region,close,Bournville,"Aldridge Central and South within West Midlands Euro Region, close to Bournville, and west of Bablake",Which city is within West Midlands Euro Region and also close to Bournville and west of Bablake?,"A. Aldridge Central and South
B. Abram
C. Streetly",A. Aldridge Central and South,"correct,random,partial"
Rother Vale,west,Armthorpe,within,Metropolitan Borough of Rotherham,close,Shiregreen & Brightside,"Rother Vale within Metropolitan Borough of Rotherham, close to Shiregreen & Brightside, and west of Armthorpe",Which city is within Metropolitan Borough of Rotherham and also close to Shiregreen & Brightside and west of Armthorpe?,"A. Cambridge
B. Brinsworth and Catcliffe
C. Rother Vale",C. Rother Vale,"random,partial,correct"
Hayley Green and Cradley South,west,Radford,within,Metropolitan Borough of Dudley,close,Moseley and Kings Heath,"Hayley Green and Cradley South within Metropolitan Borough of Dudley, close to Moseley and Kings Heath, and west of Radford",Which city is within Metropolitan Borough of Dudley and also close to Moseley and Kings Heath and west of Radford?,"A. Morley West Yorkshire
B. Hayley Green and Cradley South
C. Brierley Hill",B. Hayley Green and Cradley South,"random,correct,partial"
Wombwell,west,Sprotbrough and Cusworth,within,Yorkshire and the Humber Euro Region,close,Wrenthorpe and Outwood West,"Wombwell within Yorkshire and the Humber Euro Region, close to Wrenthorpe and Outwood West, and west of Sprotbrough and Cusworth",Which city is within Yorkshire and the Humber Euro Region and also close to Wrenthorpe and Outwood West and west of Sprotbrough and Cusworth?,"A. Sheldon
B. Wombwell
C. Stannington",B. Wombwell,"random,correct,partial"
Bebington,west,Winstanley,within,North West Euro Region,close,Liscard,"Bebington within North West Euro Region, close to Liscard, and west of Winstanley",Which city is within North West Euro Region and also close to Liscard and west of Winstanley?,"A. Bramhall South and Woodford
B. Cambridge
C. Bebington",C. Bebington,"random,partial,correct"
Ecclesall,west,Sitwell,within,Yorkshire and the Humber Euro Region,close,Wath,"Ecclesall within Yorkshire and the Humber Euro Region, close to Wath, and west of Sitwell",Which city is within Yorkshire and the Humber Euro Region and also close to Wath and west of Sitwell?,"A. Shiregreen & Brightside
B. Quarry Bank and Dudley Wood
C. Ecclesall",C. Ecclesall,"partial,random,correct"
Byker,west,Cullercoats,within,North East Euro Region,close,Whitburn and Marsden,"Byker within North East Euro Region, close to Whitburn and Marsden, and west of Cullercoats",Which city is within North East Euro Region and also close to Whitburn and Marsden and west of Cullercoats?,"A. Byker
B. South Jesmond
C. West Gosforth",A. Byker,"correct,random,partial"
Washwood Heath,west,St. Michael's,within,Birmingham,close,West Bromwich Central,"Washwood Heath within Birmingham, close to West Bromwich Central, and west of St. Michael's",Which city is within Birmingham and also close to West Bromwich Central and west of St. Michael's?,"A. Metropolitan Borough of Gateshead
B. Washwood Heath
C. Brownhills",B. Washwood Heath,"random,correct,partial"
Newburn,west,St. Anne's,within,North East Euro Region,close,Washington Central,"Newburn within North East Euro Region, close to Washington Central, and west of St. Anne's",Which city is within North East Euro Region and also close to Washington Central and west of St. Anne's?,"A. Hebburn North
B. Chapel Allerton
C. Newburn",C. Newburn,"partial,random,correct"
Allerton and Hunts Cross,west,East Ecclesfield,within,North West Euro Region,close,Fazakerley,"Allerton and Hunts Cross within North West Euro Region, close to Fazakerley, and west of East Ecclesfield",Which city is within North West Euro Region and also close to Fazakerley and west of East Ecclesfield?,"A. Bramhall South and Woodford
B. Allerton and Hunts Cross
C. Rainford",B. Allerton and Hunts Cross,"partial,correct,random"
East Park,west,Henley,within,West Midlands Euro Region,close,Sutton Vesey,"East Park within West Midlands Euro Region, close to Sutton Vesey, and west of Henley",Which city is within West Midlands Euro Region and also close to Sutton Vesey and west of Henley?,"A. East Park
B. Lyndon
C. Cradley Heath and Old Hill",A. East Park,"correct,partial,random"
Wednesfield South,west,Paddock,within,West Midlands Euro Region,close,Wollaston and Stourbridge Town,"Wednesfield South within West Midlands Euro Region, close to Wollaston and Stourbridge Town, and west of Paddock",Which city is within West Midlands Euro Region and also close to Wollaston and Stourbridge Town and west of Paddock?,"A. Wednesfield South
B. Rowley
C. Southey",A. Wednesfield South,"correct,partial,random"
South Middleton,west,Dewsbury West,within,Metropolitan Borough of Rochdale,distant,Horsforth,"South Middleton within Metropolitan Borough of Rochdale, distant to Horsforth, and west of Dewsbury West",Which city is within Metropolitan Borough of Rochdale and also distant to Horsforth and west of Dewsbury West?,"A. Elland
B. Breightmet
C. South Middleton",C. South Middleton,"random,partial,correct"
Denton West,west,Conisbrough Parks,within,North West Euro Region,distant,Great Horton,"Denton West within North West Euro Region, distant to Great Horton, and west of Conisbrough Parks",Which city is within North West Euro Region and also distant to Great Horton and west of Conisbrough Parks?,"A. Leigh West
B. Cherryfield
C. Denton West",C. Denton West,"partial,random,correct"
Great Lever,west,Killingbeck and Seacroft,within,Metropolitan Borough of Bolton,distant,Marple North,"Great Lever within Metropolitan Borough of Bolton, distant to Marple North, and west of Killingbeck and Seacroft",Which city is within Metropolitan Borough of Bolton and also distant to Marple North and west of Killingbeck and Seacroft?,"A. Great Lever
B. Gipton and Harehills
C. Farnley and Wortley",A. Great Lever,"correct,partial,random"
Dewsbury South,west,Wheatley Hills & Intake,within,Yorkshire and the Humber Euro Region,distant,Littleborough Lakeside,"Dewsbury South within Yorkshire and the Humber Euro Region, distant to Littleborough Lakeside, and west of Wheatley Hills & Intake",Which city is within Yorkshire and the Humber Euro Region and also distant to Littleborough Lakeside and west of Wheatley Hills & Intake?,"A. Leigh South
B. Picton Cheshire
C. Dewsbury South",C. Dewsbury South,"partial,random,correct"
Hoylake and Meols,west,Northowram and Shelf,within,Metropolitan Borough of Wirral,distant,Westhoughton North and Chew Moor,"Hoylake and Meols within Metropolitan Borough of Wirral, distant to Westhoughton North and Chew Moor, and west of Northowram and Shelf",Which city is within Metropolitan Borough of Wirral and also distant to Westhoughton North and Chew Moor and west of Northowram and Shelf?,"A. Hoylake and Meols
B. Anfield
C. St. Oswald",A. Hoylake and Meols,"correct,random,partial"
Heald Green,west,Darnall,within,Metropolitan Borough of Stockport,distant,Sutton Weaver (civil parish),"Heald Green within Metropolitan Borough of Stockport, distant to Sutton Weaver (civil parish), and west of Darnall",Which city is within Metropolitan Borough of Stockport and also distant to Sutton Weaver (civil parish) and west of Darnall?,"A. Clatterbridge
B. Riverside
C. Heald Green",C. Heald Green,"random,partial,correct"
Rockingham,west,Dearne South,within,Metropolitan Borough of Barnsley,distant,Stainforth & Barnby Dun,"Rockingham within Metropolitan Borough of Barnsley, distant to Stainforth & Barnby Dun, and west of Dearne South",Which city is within Metropolitan Borough of Barnsley and also distant to Stainforth & Barnby Dun and west of Dearne South?,"A. Shiregreen & Brightside
B. Rockingham
C. Darfield",B. Rockingham,"random,correct,partial"
Whickham South and Sunniside,west,Houghton,within,Metropolitan Borough of Gateshead,distant,Whitburn and Marsden,"Whickham South and Sunniside within Metropolitan Borough of Gateshead, distant to Whitburn and Marsden, and west of Houghton",Which city is within Metropolitan Borough of Gateshead and also distant to Whitburn and Marsden and west of Houghton?,"A. Langley
B. Whickham South and Sunniside
C. Whickham North",B. Whickham South and Sunniside,"random,correct,partial"
Tickhill & Wadsworth,west,Finningley,within,Yorkshire and the Humber Euro Region,distant,Wibsey,"Tickhill & Wadsworth within Yorkshire and the Humber Euro Region, distant to Wibsey, and west of Finningley",Which city is within Yorkshire and the Humber Euro Region and also distant to Wibsey and west of Finningley?,"A. Tickhill & Wadsworth
B. Metropolitan Borough of Wigan
C. Sitwell",A. Tickhill & Wadsworth,"correct,random,partial"
New Brighton,west,Anston and Woodsetts,within,Metropolitan Borough of Wirral,distant,Village,"New Brighton within Metropolitan Borough of Wirral, distant to Village, and west of Anston and Woodsetts",Which city is within Metropolitan Borough of Wirral and also distant to Village and west of Anston and Woodsetts?,"A. Roby
B. Reddish South
C. New Brighton",C. New Brighton,"partial,random,correct"
Newton,west,Alexandra,within,Sandwell,distant,Prenton,"Newton within Sandwell, distant to Prenton, and west of Alexandra",Which city is within Sandwell and also distant to Prenton and west of Alexandra?,"A. Billinge and Seneley Green
B. Newton
C. Chapel Allerton",B. Newton,"partial,correct,random"
Knottingley,west,Stainforth & Barnby Dun,within,Yorkshire and the Humber Euro Region,distant,Stalybridge South,"Knottingley within Yorkshire and the Humber Euro Region, distant to Stalybridge South, and west of Stainforth & Barnby Dun",Which city is within Yorkshire and the Humber Euro Region and also distant to Stalybridge South and west of Stainforth & Barnby Dun?,"A. Knottingley
B. Crookes & Crosspool
C. Cheylesmore",A. Knottingley,"correct,partial,random"
Kearsley,west,Audenshaw,within,North West Euro Region,distant,Mossley,"Kearsley within North West Euro Region, distant to Mossley, and west of Audenshaw",Which city is within North West Euro Region and also distant to Mossley and west of Audenshaw?,"A. Crumpsall
B. Didsbury East
C. Kearsley",C. Kearsley,"partial,random,correct"
Kings Norton,west,Sheldon,within,Birmingham,distant,Lower Stoke,"Kings Norton within Birmingham, distant to Lower Stoke, and west of Sheldon",Which city is within Birmingham and also distant to Lower Stoke and west of Sheldon?,"A. Dunston and Teams
B. Kings Norton
C. Amblecote",B. Kings Norton,"random,correct,partial"
Beacon and Bents,west,Horsley Hill,within,South Tyneside,distant,Ryton Crookhill and Stella,"Beacon and Bents within South Tyneside, distant to Ryton Crookhill and Stella, and west of Horsley Hill",Which city is within South Tyneside and also distant to Ryton Crookhill and Stella and west of Horsley Hill?,"A. West Park
B. Stechford and Yardley North
C. Beacon and Bents",C. Beacon and Bents,"partial,random,correct"
Westoe,west,Horsley Hill,within,South Tyneside,distant,Whickham North,"Westoe within South Tyneside, distant to Whickham North, and west of Horsley Hill",Which city is within South Tyneside and also distant to Whickham North and west of Horsley Hill?,"A. Cleadon Park
B. Westoe
C. Smallbridge and Firgrove",B. Westoe,"partial,correct,random"
Central,west,Priory,within,Metropolitan Borough of Barnsley,distant,Smithills,"Central within Metropolitan Borough of Barnsley, distant to Smithills, and west of Priory",Which city is within Metropolitan Borough of Barnsley and also distant to Smithills and west of Priory?,"A. Croxteth
B. Central
C. Douglas",B. Central,"partial,correct,random"
Saddleworth West and Lees,west,Stairfoot,within,Metropolitan Borough of Oldham,distant,Westhoughton North and Chew Moor,"Saddleworth West and Lees within Metropolitan Borough of Oldham, distant to Westhoughton North and Chew Moor, and west of Stairfoot",Which city is within Metropolitan Borough of Oldham and also distant to Westhoughton North and Chew Moor and west of Stairfoot?,"A. Littleborough Lakeside
B. Upper Gornal and Woodsetton
C. Saddleworth West and Lees",C. Saddleworth West and Lees,"partial,random,correct"
Woodhouse,west,Tickhill & Wadsworth,within,Yorkshire and the Humber Euro Region,distant,Keighley,"Woodhouse within Yorkshire and the Humber Euro Region, distant to Keighley, and west of Tickhill & Wadsworth",Which city is within Yorkshire and the Humber Euro Region and also distant to Keighley and west of Tickhill & Wadsworth?,"A. Windy Nook and Whitehills
B. Wombwell
C. Woodhouse",C. Woodhouse,"random,partial,correct"
Littleborough Lakeside,west,Royds,within,Metropolitan Borough of Rochdale,distant,Village,"Littleborough Lakeside within Metropolitan Borough of Rochdale, distant to Village, and west of Royds",Which city is within Metropolitan Borough of Rochdale and also distant to Village and west of Royds?,"A. Wainbody
B. Littleborough Lakeside
C. Balderstone and Kirkholt",B. Littleborough Lakeside,"random,correct,partial"
Prenton,west,Warley,within,Metropolitan Borough of Wirral,distant,Worsley Mesnes,"Prenton within Metropolitan Borough of Wirral, distant to Worsley Mesnes, and west of Warley",Which city is within Metropolitan Borough of Wirral and also distant to Worsley Mesnes and west of Warley?,"A. St. Michael's
B. Hale Central
C. Prenton",C. Prenton,"partial,random,correct"
Walkley,west,Valley,within,Yorkshire and the Humber Euro Region,distant,Wheatley Hills & Intake,"Walkley within Yorkshire and the Humber Euro Region, distant to Wheatley Hills & Intake, and west of Valley",Which city is within Yorkshire and the Humber Euro Region and also distant to Wheatley Hills & Intake and west of Valley?,"A. Walkley
B. Benwell and Scotswood
C. Horbury and South Ossett",A. Walkley,"correct,random,partial"
Ford,west,Dukinfield Stalybridge,within,Metropolitan Borough of Sefton,far,Park,"Ford within Metropolitan Borough of Sefton, far to Park, and west of Dukinfield Stalybridge",Which city is within Metropolitan Borough of Sefton and also far to Park and west of Dukinfield Stalybridge?,"A. Ford
B. Wigan Central
C. North Jesmond",A. Ford,"correct,random,partial"
Wharfedale,west,Stainforth & Barnby Dun,within,City of Bradford,far,Whiston & Cronton,"Wharfedale within City of Bradford, far to Whiston & Cronton, and west of Stainforth & Barnby Dun",Which city is within City of Bradford and also far to Whiston & Cronton and west of Stainforth & Barnby Dun?,"A. Graves Park
B. Wednesfield North
C. Wharfedale",C. Wharfedale,"partial,random,correct"
Rastrick,west,Maltby South Yorkshire,within,Yorkshire and the Humber Euro Region,far,West Park,"Rastrick within Yorkshire and the Humber Euro Region, far to West Park, and west of Maltby South Yorkshire",Which city is within Yorkshire and the Humber Euro Region and also far to West Park and west of Maltby South Yorkshire?,"A. Duke's
B. Rastrick
C. Washington North",B. Rastrick,"partial,correct,random"
Tividale,west,Longford,within,West Midlands Euro Region,far,Upton,"Tividale within West Midlands Euro Region, far to Upton, and west of Longford",Which city is within West Midlands Euro Region and also far to Upton and west of Longford?,"A. Shevington
B. Tividale
C. Greasby Frankby and Irby",B. Tividale,"random,correct,partial"
Knowle,west,Henley,within,Metropolitan Borough of Solihull,far,Hetton-le-Hole,"Knowle within Metropolitan Borough of Solihull, far to Hetton-le-Hole, and west of Henley",Which city is within Metropolitan Borough of Solihull and also far to Hetton-le-Hole and west of Henley?,"A. Knowle
B. Halesowen North
C. East Park",A. Knowle,"correct,random,partial"
Hoyland Milton,west,Wheatley Hills & Intake,within,Yorkshire and the Humber Euro Region,far,Knotty Ash,"Hoyland Milton within Yorkshire and the Humber Euro Region, far to Knotty Ash, and west of Wheatley Hills & Intake",Which city is within Yorkshire and the Humber Euro Region and also far to Knotty Ash and west of Wheatley Hills & Intake?,"A. North West Euro Region
B. Liversedge and Gomersal
C. Hoyland Milton",C. Hoyland Milton,"random,partial,correct"
Pensby and Thingwall,west,West Park,within,Metropolitan Borough of Wirral,far,Wetherby,"Pensby and Thingwall within Metropolitan Borough of Wirral, far to Wetherby, and west of West Park",Which city is within Metropolitan Borough of Wirral and also far to Wetherby and west of West Park?,"A. Pensby and Thingwall
B. Upton
C. Dene",A. Pensby and Thingwall,"correct,partial,random"
Castleton,west,Ardsley and Robin Hood,within,Metropolitan Borough of Rochdale,far,Ouseburn,"Castleton within Metropolitan Borough of Rochdale, far to Ouseburn, and west of Ardsley and Robin Hood",Which city is within Metropolitan Borough of Rochdale and also far to Ouseburn and west of Ardsley and Robin Hood?,"A. Castleton
B. Dukinfield Stalybridge
C. Edgbaston",A. Castleton,"correct,partial,random"
Copt Hill,west,Ryhope,within,North East Euro Region,far,Lower Stoke,"Copt Hill within North East Euro Region, far to Lower Stoke, and west of Ryhope",Which city is within North East Euro Region and also far to Lower Stoke and west of Ryhope?,"A. Church
B. Copt Hill
C. Armthorpe",B. Copt Hill,"partial,correct,random"
Abram,west,Northowram and Shelf,within,North West Euro Region,far,Mosborough,"Abram within North West Euro Region, far to Mosborough, and west of Northowram and Shelf",Which city is within North West Euro Region and also far to Mosborough and west of Northowram and Shelf?,"A. Headingley
B. Bamford
C. Abram",C. Abram,"random,partial,correct"
Norwood,west,Rothwell,within,Metropolitan Borough of Sefton,far,Short Heath,"Norwood within Metropolitan Borough of Sefton, far to Short Heath, and west of Rothwell",Which city is within Metropolitan Borough of Sefton and also far to Short Heath and west of Rothwell?,"A. Norwood
B. Douglas
C. Bolton and Undercliffe",A. Norwood,"correct,partial,random"
Lower Stoke,west,Wyken,within,West Midlands Euro Region,far,Pallion,"Lower Stoke within West Midlands Euro Region, far to Pallion, and west of Wyken",Which city is within West Midlands Euro Region and also far to Pallion and west of Wyken?,"A. Cudworth
B. Sedgley
C. Lower Stoke",C. Lower Stoke,"random,partial,correct"
Hindley,west,Mexborough,within,North West Euro Region,far,Sutton Vesey,"Hindley within North West Euro Region, far to Sutton Vesey, and west of Mexborough",Which city is within North West Euro Region and also far to Sutton Vesey and west of Mexborough?,"A. Dewsbury South
B. Blakelaw and North Fenham
C. Hindley",C. Hindley,"partial,random,correct"
Aston,west,Bordesley Green,within,West Midlands Euro Region,far,Tuebrook and Stoneycroft,"Aston within West Midlands Euro Region, far to Tuebrook and Stoneycroft, and west of Bordesley Green",Which city is within West Midlands Euro Region and also far to Tuebrook and Stoneycroft and west of Bordesley Green?,"A. Sedgley
B. Horsforth
C. Aston",C. Aston,"partial,random,correct"
Bromley Cross,west,Norden,within,Metropolitan Borough of Bolton,far,Horsforth,"Bromley Cross within Metropolitan Borough of Bolton, far to Horsforth, and west of Norden",Which city is within Metropolitan Borough of Bolton and also far to Horsforth and west of Norden?,"A. Birkenhead and Tranmere
B. Bromley Cross
C. Hemsworth",B. Bromley Cross,"partial,correct,random"
Knotty Ash,west,Saddleworth West and Lees,within,North West Euro Region,far,Wetherby,"Knotty Ash within North West Euro Region, far to Wetherby, and west of Saddleworth West and Lees",Which city is within North West Euro Region and also far to Wetherby and west of Saddleworth West and Lees?,"A. Halesowen North
B. Breightmet
C. Knotty Ash",C. Knotty Ash,"random,partial,correct"
