place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
Charlestown,north,Rowley,within,Manchester,"Charlestown is north Rowley, within Manchester",Which city lies north to Rowley and within Manchester?,"A. Chapel Allerton
B. North Manor
C. Charlestown",C. Charlestown,"random,partial,correct"
Charlestown,west,Cleckheaton,borders,Harpurhey,"Charlestown is west Cleckheaton, borders Harpurhey",Which city lies west to Cleckheaton and borders Harpurhey?,"A. Haydock
B. Charlestown
C. Low Fell",B. Charlestown,"partial,correct,random"
Edenthorpe,east,Ryburn,within,Metropolitan Borough of Doncaster,"Edenthorpe is east Ryburn, within Metropolitan Borough of Doncaster",Which city lies east to Ryburn and within Metropolitan Borough of Doncaster?,"A. City of Wakefield
B. Bessacarr
C. Edenthorpe",C. Edenthorpe,"random,partial,correct"
Edenthorpe,south,Weetslade,borders,Stainforth & Barnby Dun,"Edenthorpe is south Weetslade, borders Stainforth & Barnby Dun",Which city lies south to Weetslade and borders Stainforth & Barnby Dun?,"A. Winlaton and High Spen
B. Broomhill & Sharrow Vale
C. Edenthorpe",C. Edenthorpe,"random,partial,correct"
Todmorden,north,Ordsall,borders,Littleborough Lakeside,"Todmorden is north Ordsall, borders Littleborough Lakeside",Which city lies north to Ordsall and borders Littleborough Lakeside?,"A. Monkseaton North
B. Darlaston South
C. Todmorden",C. Todmorden,"partial,random,correct"
Bucklow-St. Martins,south,Camperdown,within,North West Euro Region,"Bucklow-St. Martins is south Camperdown, within North West Euro Region",Which city lies south to Camperdown and within North West Euro Region?,"A. Northowram and Shelf
B. Bucklow-St. Martins
C. Killingworth",B. Bucklow-St. Martins,"random,correct,partial"
Bucklow-St. Martins,west,East Ecclesfield,borders,Flixton,"Bucklow-St. Martins is west East Ecclesfield, borders Flixton",Which city lies west to East Ecclesfield and borders Flixton?,"A. Metropolitan Borough of Walsall
B. Cheadle Hulme South
C. Bucklow-St. Martins",C. Bucklow-St. Martins,"random,partial,correct"
Village,north,Acocks Green,within,Trafford,"Village is north Acocks Green, within Trafford",Which city lies north to Acocks Green and within Trafford?,"A. Sedgley
B. Village
C. Holme Valley",B. Village,"random,correct,partial"
Village,west,Edenthorpe,borders,Timperley,"Village is west Edenthorpe, borders Timperley",Which city lies west to Edenthorpe and borders Timperley?,"A. Rossington
B. Smallbridge and Firgrove
C. Village",C. Village,"random,partial,correct"
Chopwell and Rowlands Gill,north,Village,within,North East Euro Region,"Chopwell and Rowlands Gill is north Village, within North East Euro Region",Which city lies north to Village and within North East Euro Region?,"A. Chopwell and Rowlands Gill
B. Tuebrook and Stoneycroft
C. Tyldesley",A. Chopwell and Rowlands Gill,"correct,random,partial"
Chopwell and Rowlands Gill,west,Biddick and All Saints,borders,Crawcrook and Greenside,"Chopwell and Rowlands Gill is west Biddick and All Saints, borders Crawcrook and Greenside",Which city lies west to Biddick and All Saints and borders Crawcrook and Greenside?,"A. Chopwell and Rowlands Gill
B. Pontefract North
C. Blakelaw and North Fenham",A. Chopwell and Rowlands Gill,"correct,random,partial"
Knottingley,north,Wickersley,within,City of Wakefield,"Knottingley is north Wickersley, within City of Wakefield",Which city lies north to Wickersley and within City of Wakefield?,"A. Knottingley
B. Castleford Central and Glasshoughton
C. City of Salford",A. Knottingley,"correct,partial,random"
Knottingley,east,Burmantofts and Richmond Hill,borders,Pontefract North,"Knottingley is east Burmantofts and Richmond Hill, borders Pontefract North",Which city lies east to Burmantofts and Richmond Hill and borders Pontefract North?,"A. Southey
B. Knottingley
C. Finningley",B. Knottingley,"random,correct,partial"
Wibsey,north,Withington,within,City of Bradford,"Wibsey is north Withington, within City of Bradford",Which city lies north to Withington and within City of Bradford?,"A. South Tyneside
B. Wibsey
C. Washington South",B. Wibsey,"random,correct,partial"
Wibsey,east,Thornton and Allerton,borders,Tong,"Wibsey is east Thornton and Allerton, borders Tong",Which city lies east to Thornton and Allerton and borders Tong?,"A. Wibsey
B. Headingley
C. Mexborough",A. Wibsey,"correct,partial,random"
Tividale,south,Castle,within,West Midlands Euro Region,"Tividale is south Castle, within West Midlands Euro Region",Which city lies south to Castle and within West Midlands Euro Region?,"A. Tividale
B. Houghton
C. Liverpool",A. Tividale,"correct,partial,random"
Tividale,west,Erdington,borders,St. Thomas's,"Tividale is west Erdington, borders St. Thomas's",Which city lies west to Erdington and borders St. Thomas's?,"A. Tividale
B. Gorton North
C. Lye and Stourbridge North",A. Tividale,"correct,random,partial"
Biddick and All Saints,north,Skircoat,within,North East Euro Region,"Biddick and All Saints is north Skircoat, within North East Euro Region",Which city lies north to Skircoat and within North East Euro Region?,"A. Biddick and All Saints
B. Chorlton
C. Saltwell",A. Biddick and All Saints,"correct,random,partial"
Biddick and All Saints,east,Whickham North,borders,Cleadon and East Boldon,"Biddick and All Saints is east Whickham North, borders Cleadon and East Boldon",Which city lies east to Whickham North and borders Cleadon and East Boldon?,"A. Biddick and All Saints
B. Byker
C. Ecclesall",A. Biddick and All Saints,"correct,partial,random"
Ovenden,south,Beacon and Bents,within,Calderdale,"Ovenden is south Beacon and Bents, within Calderdale",Which city lies south to Beacon and Bents and within Calderdale?,"A. Norton
B. Ovenden
C. Kirklees",B. Ovenden,"partial,correct,random"
Ovenden,north,Milnrow and Newhey,borders,Illingworth and Mixenden,"Ovenden is north Milnrow and Newhey, borders Illingworth and Mixenden",Which city lies north to Milnrow and Newhey and borders Illingworth and Mixenden?,"A. St. Chad's
B. Dukinfield Stalybridge
C. Ovenden",C. Ovenden,"partial,random,correct"
St. Chad's,north,Mossley Hill,within,City of Sunderland,"St. Chad's is north Mossley Hill, within City of Sunderland",Which city lies north to Mossley Hill and within City of Sunderland?,"A. Washington Central
B. Davyhulme East
C. St. Chad's",C. St. Chad's,"partial,random,correct"
St. Chad's,south,Ouseburn,borders,Shiney Row,"St. Chad's is south Ouseburn, borders Shiney Row",Which city lies south to Ouseburn and borders Shiney Row?,"A. Smithills
B. Chirton
C. St. Chad's",C. St. Chad's,"partial,random,correct"
Heath Town,south,Heatons North,within,West Midlands Euro Region,"Heath Town is south Heatons North, within West Midlands Euro Region",Which city lies south to Heatons North and within West Midlands Euro Region?,"A. Dore & Totley
B. Heath Town
C. Bramhall South and Woodford",B. Heath Town,"random,correct,partial"
Heath Town,north,Soho and Victoria,borders,East Park,"Heath Town is north Soho and Victoria, borders East Park",Which city lies north to Soho and Victoria and borders East Park?,"A. Whiteleas
B. Heath Town
C. Stockbridge",B. Heath Town,"random,correct,partial"
St. James',south,Whickham South and Sunniside,within,Metropolitan Borough of Oldham,"St. James' is south Whickham South and Sunniside, within Metropolitan Borough of Oldham",Which city lies south to Whickham South and Sunniside and within Metropolitan Borough of Oldham?,"A. Ossett
B. St. James'
C. Milnrow and Newhey",B. St. James',"partial,correct,random"
St. James',east,Atherleigh,borders,Shaw,"St. James' is east Atherleigh, borders Shaw",Which city lies east to Atherleigh and borders Shaw?,"A. Bournville
B. Old Town
C. St. James'",C. St. James',"random,partial,correct"
Tottington,north,Park,within,Metropolitan Borough of Bury,"Tottington is north Park, within Metropolitan Borough of Bury",Which city lies north to Park and within Metropolitan Borough of Bury?,"A. Birley
B. Tottington
C. West Heywood",B. Tottington,"random,correct,partial"
Tottington,west,Brinsworth and Catcliffe,borders,Elton,"Tottington is west Brinsworth and Catcliffe, borders Elton",Which city lies west to Brinsworth and Catcliffe and borders Elton?,"A. South Tyneside
B. Tottington
C. Hyde Newton",B. Tottington,"random,correct,partial"
Baildon,east,Little Lever and Darcy Lever,within,City of Bradford,"Baildon is east Little Lever and Darcy Lever, within City of Bradford",Which city lies east to Little Lever and Darcy Lever and within City of Bradford?,"A. Baildon
B. Bryn
C. Temple Newsam",A. Baildon,"correct,random,partial"
Baildon,west,South Elmsall and South Kirkby,borders,Guiseley and Rawdon,"Baildon is west South Elmsall and South Kirkby, borders Guiseley and Rawdon",Which city lies west to South Elmsall and South Kirkby and borders Guiseley and Rawdon?,"A. Baildon
B. Miles Platting and Newton Heath
C. Page Moss",A. Baildon,"correct,partial,random"
Halesowen North,south,Hoober,within,Metropolitan Borough of Dudley,"Halesowen North is south Hoober, within Metropolitan Borough of Dudley",Which city lies south to Hoober and within Metropolitan Borough of Dudley?,"A. Chirton
B. St. Michael's
C. Halesowen North",C. Halesowen North,"random,partial,correct"
Halesowen North,west,Hall Green,borders,Halesowen South,"Halesowen North is west Hall Green, borders Halesowen South",Which city lies west to Hall Green and borders Halesowen South?,"A. Kingswinford North and Wall Heath
B. Dinnington St. John's
C. Halesowen North",C. Halesowen North,"partial,random,correct"
Atherleigh,north,Aldridge North and Walsall Wood,within,North West Euro Region,"Atherleigh is north Aldridge North and Walsall Wood, within North West Euro Region",Which city lies north to Aldridge North and Walsall Wood and within North West Euro Region?,"A. Atherleigh
B. St. Michael's
C. Worsley Mesnes",A. Atherleigh,"correct,random,partial"
Atherleigh,west,Heckmondwike,borders,Hindley Green,"Atherleigh is west Heckmondwike, borders Hindley Green",Which city lies west to Heckmondwike and borders Hindley Green?,"A. Crumpsall
B. Atherleigh
C. Bucklow-St. Martins",B. Atherleigh,"random,correct,partial"
Calder,north,Brooklands,within,Yorkshire and the Humber Euro Region,"Calder is north Brooklands, within Yorkshire and the Humber Euro Region",Which city lies north to Brooklands and within Yorkshire and the Humber Euro Region?,"A. Rushall-Shelfield
B. Calder
C. Parklands",B. Calder,"random,correct,partial"
Calder,east,Clubmoor,borders,Luddendenfoot,"Calder is east Clubmoor, borders Luddendenfoot",Which city lies east to Clubmoor and borders Luddendenfoot?,"A. Calder
B. Adel and Wharfedale
C. Luddendenfoot",A. Calder,"correct,partial,random"
Royton South,east,Warbreck,within,Metropolitan Borough of Oldham,"Royton South is east Warbreck, within Metropolitan Borough of Oldham",Which city lies east to Warbreck and within Metropolitan Borough of Oldham?,"A. Horwich and Blackrod
B. Royton South
C. Hemsworth",B. Royton South,"random,correct,partial"
Royton South,south,Bamford,borders,Crompton,"Royton South is south Bamford, borders Crompton",Which city lies south to Bamford and borders Crompton?,"A. Royton South
B. Pleck
C. Erdington",A. Royton South,"correct,partial,random"
Hindley,north,Bickenhill,within,North West Euro Region,"Hindley is north Bickenhill, within North West Euro Region",Which city lies north to Bickenhill and within North West Euro Region?,"A. Manor
B. Boldon Colliery
C. Hindley",C. Hindley,"random,partial,correct"
Hindley,west,Elton,borders,Abram,"Hindley is west Elton, borders Abram",Which city lies west to Elton and borders Abram?,"A. Keighley West
B. Woolton
C. Hindley",C. Hindley,"random,partial,correct"
Cullercoats,north,West Kirby and Thurstaston,within,North Tyneside,"Cullercoats is north West Kirby and Thurstaston, within North Tyneside",Which city lies north to West Kirby and Thurstaston and within North Tyneside?,"A. Ainsdale
B. Cullercoats
C. Earlestown",B. Cullercoats,"partial,correct,random"
Cullercoats,east,Longbenton,borders,Tynemouth,"Cullercoats is east Longbenton, borders Tynemouth",Which city lies east to Longbenton and borders Tynemouth?,"A. Didsbury East
B. Valley
C. Cullercoats",C. Cullercoats,"random,partial,correct"
Monkton,north,Sudell,within,South Tyneside,"Monkton is north Sudell, within South Tyneside",Which city lies north to Sudell and within South Tyneside?,"A. Dalton
B. Woolsington
C. Monkton",C. Monkton,"random,partial,correct"
Monkton,west,Fulwell,borders,Hebburn South,"Monkton is west Fulwell, borders Hebburn South",Which city lies west to Fulwell and borders Hebburn South?,"A. Bucklow-St. Martins
B. Southwick
C. Monkton",C. Monkton,"random,partial,correct"
Denton North East,south,South Jesmond,within,Tameside,"Denton North East is south South Jesmond, within Tameside",Which city lies south to South Jesmond and within Tameside?,"A. Whiston & Cronton
B. Graiseley
C. Denton North East",C. Denton North East,"partial,random,correct"
Denton North East,north,Palfrey,borders,Hyde Godley,"Denton North East is north Palfrey, borders Hyde Godley",Which city lies north to Palfrey and borders Hyde Godley?,"A. Houghton
B. Denton North East
C. Bablake",B. Denton North East,"partial,correct,random"
Bryn,west,Pudsey,within,Metropolitan Borough of Wigan,"Bryn is west Pudsey, within Metropolitan Borough of Wigan",Which city lies west to Pudsey and within Metropolitan Borough of Wigan?,"A. Bryn
B. Wallasey
C. Calder",A. Bryn,"correct,random,partial"
Bryn,east,Meols,borders,Abram,"Bryn is east Meols, borders Abram",Which city lies east to Meols and borders Abram?,"A. Bryn
B. Wigan Central
C. Dukinfield",A. Bryn,"correct,random,partial"
Kearsley,north,Gorse Hill,within,Metropolitan Borough of Bolton,"Kearsley is north Gorse Hill, within Metropolitan Borough of Bolton",Which city lies north to Gorse Hill and within Metropolitan Borough of Bolton?,"A. Hendon
B. Kearsley
C. Kenton",B. Kearsley,"partial,correct,random"
Kearsley,west,Penistone East,borders,Farnworth,"Kearsley is west Penistone East, borders Farnworth",Which city lies west to Penistone East and borders Farnworth?,"A. Chadderton Central
B. Walkden South
C. Kearsley",C. Kearsley,"random,partial,correct"
Soho and Victoria,south,Gorse Hill,within,West Midlands Euro Region,"Soho and Victoria is south Gorse Hill, within West Midlands Euro Region",Which city lies south to Gorse Hill and within West Midlands Euro Region?,"A. Shard End
B. Pensby and Thingwall
C. Soho and Victoria",C. Soho and Victoria,"partial,random,correct"
Soho and Victoria,east,Blakenhall,borders,Harborne,"Soho and Victoria is east Blakenhall, borders Harborne",Which city lies east to Blakenhall and borders Harborne?,"A. Soho and Victoria
B. Birmingham
C. Henley",A. Soho and Victoria,"correct,random,partial"
Selly Oak,south,Chadderton Central,within,West Midlands Euro Region,"Selly Oak is south Chadderton Central, within West Midlands Euro Region",Which city lies south to Chadderton Central and within West Midlands Euro Region?,"A. Healey
B. Moston
C. Selly Oak",C. Selly Oak,"random,partial,correct"
Selly Oak,west,Smith's Wood,borders,Moseley and Kings Heath,"Selly Oak is west Smith's Wood, borders Moseley and Kings Heath",Which city lies west to Smith's Wood and borders Moseley and Kings Heath?,"A. Selly Oak
B. Rother Vale
C. Wednesbury North",A. Selly Oak,"correct,random,partial"
Edgeley and Cheadle Heath,east,Chorlton,within,North West Euro Region,"Edgeley and Cheadle Heath is east Chorlton, within North West Euro Region",Which city lies east to Chorlton and within North West Euro Region?,"A. Wainbody
B. Davyhulme West
C. Edgeley and Cheadle Heath",C. Edgeley and Cheadle Heath,"random,partial,correct"
Edgeley and Cheadle Heath,south,Werneth,borders,Heatons South,"Edgeley and Cheadle Heath is south Werneth, borders Heatons South",Which city lies south to Werneth and borders Heatons South?,"A. Gorton North
B. Edgeley and Cheadle Heath
C. Dearne North",B. Edgeley and Cheadle Heath,"partial,correct,random"
Leigh East,west,Claremont,within,Metropolitan Borough of Wigan,"Leigh East is west Claremont, within Metropolitan Borough of Wigan",Which city lies west to Claremont and within Metropolitan Borough of Wigan?,"A. Kingswinford North and Wall Heath
B. Wigan Central
C. Leigh East",C. Leigh East,"random,partial,correct"
Leigh East,east,Eastham,borders,Leigh South,"Leigh East is east Eastham, borders Leigh South",Which city lies east to Eastham and borders Leigh South?,"A. Leigh East
B. Smallbridge and Firgrove
C. Wetherby",A. Leigh East,"correct,partial,random"
Killingbeck and Seacroft,north,Hyde Godley,within,County Borough of Leeds,"Killingbeck and Seacroft is north Hyde Godley, within County Borough of Leeds",Which city lies north to Hyde Godley and within County Borough of Leeds?,"A. Killingbeck and Seacroft
B. Didsbury West
C. Ashton Waterloo",A. Killingbeck and Seacroft,"correct,random,partial"
Killingbeck and Seacroft,east,Ryburn,borders,Temple Newsam,"Killingbeck and Seacroft is east Ryburn, borders Temple Newsam",Which city lies east to Ryburn and borders Temple Newsam?,"A. Crofton Ryhill and Walton
B. Darton West
C. Killingbeck and Seacroft",C. Killingbeck and Seacroft,"random,partial,correct"
Wigan West,west,Hulme,within,Metropolitan Borough of Wigan,"Wigan West is west Hulme, within Metropolitan Borough of Wigan",Which city lies west to Hulme and within Metropolitan Borough of Wigan?,"A. Ordsall
B. Weetwood
C. Wigan West",C. Wigan West,"partial,random,correct"
Wigan West,east,Duke's,borders,Douglas,"Wigan West is east Duke's, borders Douglas",Which city lies east to Duke's and borders Douglas?,"A. Wigan West
B. Moortown
C. Mossley Hill",A. Wigan West,"correct,partial,random"
Great Horton,north,Manor,within,Yorkshire and the Humber Euro Region,"Great Horton is north Manor, within Yorkshire and the Humber Euro Region",Which city lies north to Manor and within Yorkshire and the Humber Euro Region?,"A. Great Horton
B. Cheylesmore
C. Town",A. Great Horton,"correct,random,partial"
Great Horton,south,St. Anne's,borders,City,"Great Horton is south St. Anne's, borders City",Which city lies south to St. Anne's and borders City?,"A. Holme Valley North
B. Keighley
C. Great Horton",C. Great Horton,"partial,random,correct"
Roby,west,Harper Green,within,Metropolitan Borough of Knowsley,"Roby is west Harper Green, within Metropolitan Borough of Knowsley",Which city lies west to Harper Green and within Metropolitan Borough of Knowsley?,"A. Roby
B. Saddleworth West and Lees
C. Norris Green",A. Roby,"correct,random,partial"
Roby,north,Wordsley,borders,Belle Vale,"Roby is north Wordsley, borders Belle Vale",Which city lies north to Wordsley and borders Belle Vale?,"A. Idle and Thackley
B. St. Gabriels
C. Roby",C. Roby,"partial,random,correct"
Ossett,south,Washington North,within,Yorkshire and the Humber Euro Region,"Ossett is south Washington North, within Yorkshire and the Humber Euro Region",Which city lies south to Washington North and within Yorkshire and the Humber Euro Region?,"A. Pemberton
B. Chadderton Central
C. Ossett",C. Ossett,"random,partial,correct"
Ossett,east,Redvales,borders,Ardsley and Robin Hood,"Ossett is east Redvales, borders Ardsley and Robin Hood",Which city lies east to Redvales and borders Ardsley and Robin Hood?,"A. Ossett
B. Ardsley and Robin Hood
C. Dinnington St. John's",A. Ossett,"correct,partial,random"
Shard End,south,Headingley,within,Birmingham,"Shard End is south Headingley, within Birmingham",Which city lies south to Headingley and within Birmingham?,"A. Heckmondwike
B. Shard End
C. Greasby Frankby and Irby",B. Shard End,"partial,correct,random"
Shard End,east,Belle Vale,borders,Kingshurst and Fordbridge,"Shard End is east Belle Vale, borders Kingshurst and Fordbridge",Which city lies east to Belle Vale and borders Kingshurst and Fordbridge?,"A. Shard End
B. Smallbridge and Firgrove
C. Firth Park",A. Shard End,"correct,random,partial"
Calverley and Farsley,north,Miles Platting and Newton Heath,within,County Borough of Leeds,"Calverley and Farsley is north Miles Platting and Newton Heath, within County Borough of Leeds",Which city lies north to Miles Platting and Newton Heath and within County Borough of Leeds?,"A. Charlemont with Grove Vale
B. Northumberland
C. Calverley and Farsley",C. Calverley and Farsley,"random,partial,correct"
Calverley and Farsley,south,Barnes,borders,Eccleshill,"Calverley and Farsley is south Barnes, borders Eccleshill",Which city lies south to Barnes and borders Eccleshill?,"A. Milnrow and Newhey
B. Birtley
C. Calverley and Farsley",C. Calverley and Farsley,"partial,random,correct"
Northowram and Shelf,north,Sutton Trinity,within,Calderdale,"Northowram and Shelf is north Sutton Trinity, within Calderdale",Which city lies north to Sutton Trinity and within Calderdale?,"A. Northowram and Shelf
B. Tong
C. Ancoats and Clayton",A. Northowram and Shelf,"correct,partial,random"
Northowram and Shelf,south,Heaton,borders,Royds,"Northowram and Shelf is south Heaton, borders Royds",Which city lies south to Heaton and borders Royds?,"A. Nether Edge & Sharrow
B. Cheadle and Gatley
C. Northowram and Shelf",C. Northowram and Shelf,"partial,random,correct"
Kirkstall,north,Shiregreen & Brightside,within,County Borough of Leeds,"Kirkstall is north Shiregreen & Brightside, within County Borough of Leeds",Which city lies north to Shiregreen & Brightside and within County Borough of Leeds?,"A. Kirkstall
B. City and Hunslet
C. Failsworth West",A. Kirkstall,"correct,partial,random"
Kirkstall,east,Hoylake and Meols,borders,Headingley,"Kirkstall is east Hoylake and Meols, borders Headingley",Which city lies east to Hoylake and Meols and borders Headingley?,"A. Kirkstall
B. Heatons North
C. Halewood",A. Kirkstall,"correct,partial,random"
Denton South,east,Ordsall,within,Tameside,"Denton South is east Ordsall, within Tameside",Which city lies east to Ordsall and within Tameside?,"A. West Ecclesfield
B. Denton South
C. Dodworth",B. Denton South,"partial,correct,random"
Denton South,west,East Ecclesfield,borders,Denton North East,"Denton South is west East Ecclesfield, borders Denton North East",Which city lies west to East Ecclesfield and borders Denton North East?,"A. Denton South
B. Heald Green
C. Wednesfield North",A. Denton South,"correct,partial,random"
Kersal,north,Lozells and East Handsworth,within,City of Salford,"Kersal is north Lozells and East Handsworth, within City of Salford",Which city lies north to Lozells and East Handsworth and within City of Salford?,"A. Kersal
B. Kingsway
C. Soho",A. Kersal,"correct,partial,random"
Kersal,west,Droylsden East,borders,Irwell Riverside,"Kersal is west Droylsden East, borders Irwell Riverside",Which city lies west to Droylsden East and borders Irwell Riverside?,"A. Kersal
B. Horbury and South Ossett
C. Manor",A. Kersal,"correct,random,partial"
Allerton and Hunts Cross,west,Woodhouse Park,within,Liverpool,"Allerton and Hunts Cross is west Woodhouse Park, within Liverpool",Which city lies west to Woodhouse Park and within Liverpool?,"A. Shirley East
B. Liscard
C. Allerton and Hunts Cross",C. Allerton and Hunts Cross,"random,partial,correct"
Allerton and Hunts Cross,north,Greets Green and Lyng,borders,Church,"Allerton and Hunts Cross is north Greets Green and Lyng, borders Church",Which city lies north to Greets Green and Lyng and borders Church?,"A. Shevington with Lower Ground
B. Great Bridge
C. Allerton and Hunts Cross",C. Allerton and Hunts Cross,"partial,random,correct"
Brinnington and Central,north,Tividale,within,Metropolitan Borough of Stockport,"Brinnington and Central is north Tividale, within Metropolitan Borough of Stockport",Which city lies north to Tividale and within Metropolitan Borough of Stockport?,"A. Redhill
B. Brinnington and Central
C. Smethwick",B. Brinnington and Central,"partial,correct,random"
Brinnington and Central,west,Penistone,borders,Reddish South,"Brinnington and Central is west Penistone, borders Reddish South",Which city lies west to Penistone and borders Reddish South?,"A. Alwoodley
B. Brinnington and Central
C. Horwich",B. Brinnington and Central,"random,correct,partial"
West Bromwich Central,south,Old Swan,within,Sandwell,"West Bromwich Central is south Old Swan, within Sandwell",Which city lies south to Old Swan and within Sandwell?,"A. Childwall
B. West Bromwich Central
C. Horwich",B. West Bromwich Central,"partial,correct,random"
West Bromwich Central,east,Cradley and Wollescote,borders,Charlemont with Grove Vale,"West Bromwich Central is east Cradley and Wollescote, borders Charlemont with Grove Vale",Which city lies east to Cradley and Wollescote and borders Charlemont with Grove Vale?,"A. Shirley West
B. West Bromwich Central
C. Winton",B. West Bromwich Central,"partial,correct,random"
Rushall-Shelfield,south,Blakelaw and North Fenham,within,West Midlands Euro Region,"Rushall-Shelfield is south Blakelaw and North Fenham, within West Midlands Euro Region",Which city lies south to Blakelaw and North Fenham and within West Midlands Euro Region?,"A. West Ecclesfield
B. Great Horton
C. Rushall-Shelfield",C. Rushall-Shelfield,"partial,random,correct"
Rushall-Shelfield,east,Kingswinford North and Wall Heath,borders,Aldridge Central and South,"Rushall-Shelfield is east Kingswinford North and Wall Heath, borders Aldridge Central and South",Which city lies east to Kingswinford North and Wall Heath and borders Aldridge Central and South?,"A. Rushall-Shelfield
B. Sparkbrook
C. Springfield",A. Rushall-Shelfield,"correct,random,partial"
Kingstanding,south,Wrenthorpe and Outwood West,within,Birmingham,"Kingstanding is south Wrenthorpe and Outwood West, within Birmingham",Which city lies south to Wrenthorpe and Outwood West and within Birmingham?,"A. Kingstanding
B. Halesowen South
C. Merry Hill",A. Kingstanding,"correct,partial,random"
Kingstanding,east,Norton,borders,Stockland Green,"Kingstanding is east Norton, borders Stockland Green",Which city lies east to Norton and borders Stockland Green?,"A. Elmdon
B. Harborne
C. Kingstanding",C. Kingstanding,"random,partial,correct"
Burmantofts and Richmond Hill,south,South Jesmond,within,Yorkshire and the Humber Euro Region,"Burmantofts and Richmond Hill is south South Jesmond, within Yorkshire and the Humber Euro Region",Which city lies south to South Jesmond and within Yorkshire and the Humber Euro Region?,"A. Norton
B. Burmantofts and Richmond Hill
C. Monk Bretton",B. Burmantofts and Richmond Hill,"partial,correct,random"
Burmantofts and Richmond Hill,north,Meriden West Midlands,borders,Gipton and Harehills,"Burmantofts and Richmond Hill is north Meriden West Midlands, borders Gipton and Harehills",Which city lies north to Meriden West Midlands and borders Gipton and Harehills?,"A. Burmantofts and Richmond Hill
B. Fenham
C. Metropolitan Borough of Gateshead",A. Burmantofts and Richmond Hill,"correct,partial,random"
Childwall,north,Foleshill,within,North West Euro Region,"Childwall is north Foleshill, within North West Euro Region",Which city lies north to Foleshill and within North West Euro Region?,"A. Bramley and Stanningley
B. Monk Bretton
C. Childwall",C. Childwall,"partial,random,correct"
Childwall,west,Davenport and Cale Green,borders,Belle Vale,"Childwall is west Davenport and Cale Green, borders Belle Vale",Which city lies west to Davenport and Cale Green and borders Belle Vale?,"A. Hall Green
B. Leigh South
C. Childwall",C. Childwall,"random,partial,correct"
Tonge with the Haulgh,west,Northowram and Shelf,within,Metropolitan Borough of Bolton,"Tonge with the Haulgh is west Northowram and Shelf, within Metropolitan Borough of Bolton",Which city lies west to Northowram and Shelf and within Metropolitan Borough of Bolton?,"A. Tonge with the Haulgh
B. Ainsdale
C. Knotty Ash",A. Tonge with the Haulgh,"correct,random,partial"
Tonge with the Haulgh,south,Fulwell,borders,Little Lever and Darcy Lever,"Tonge with the Haulgh is south Fulwell, borders Little Lever and Darcy Lever",Which city lies south to Fulwell and borders Little Lever and Darcy Lever?,"A. Brierley Hill
B. Tonge with the Haulgh
C. Hatfield",B. Tonge with the Haulgh,"random,correct,partial"
Heaton,north,Bramhall South and Woodford,within,Yorkshire and the Humber Euro Region,"Heaton is north Bramhall South and Woodford, within Yorkshire and the Humber Euro Region",Which city lies north to Bramhall South and Woodford and within Yorkshire and the Humber Euro Region?,"A. Fawdon
B. Heaton
C. Sutton Trinity",B. Heaton,"partial,correct,random"
Heaton,west,Knottingley,borders,Windhill and Wrose,"Heaton is west Knottingley, borders Windhill and Wrose",Which city lies west to Knottingley and borders Windhill and Wrose?,"A. Gipton and Harehills
B. North Tyneside
C. Heaton",C. Heaton,"partial,random,correct"
Kingswinford South,west,Upper Stoke,within,Metropolitan Borough of Dudley,"Kingswinford South is west Upper Stoke, within Metropolitan Borough of Dudley",Which city lies west to Upper Stoke and within Metropolitan Borough of Dudley?,"A. Northfield
B. Brooklands
C. Kingswinford South",C. Kingswinford South,"partial,random,correct"
Kingswinford South,south,Horbury and South Ossett,borders,Brockmoor and Pensnett,"Kingswinford South is south Horbury and South Ossett, borders Brockmoor and Pensnett",Which city lies south to Horbury and South Ossett and borders Brockmoor and Pensnett?,"A. Bushbury North
B. Bradford Moor
C. Kingswinford South",C. Kingswinford South,"partial,random,correct"
Holbrook,south,Halliwell,within,Coventry,"Holbrook is south Halliwell, within Coventry",Which city lies south to Halliwell and within Coventry?,"A. Holbrook
B. Burnage
C. St. Michael's",A. Holbrook,"correct,random,partial"
Holbrook,east,Pleck,borders,Radford,"Holbrook is east Pleck, borders Radford",Which city lies east to Pleck and borders Radford?,"A. Holbrook
B. Bickenhill
C. Farnley and Wortley",A. Holbrook,"correct,partial,random"
St. Matthew's,west,Lower Stoke,within,West Midlands Euro Region,"St. Matthew's is west Lower Stoke, within West Midlands Euro Region",Which city lies west to Lower Stoke and within West Midlands Euro Region?,"A. Wednesfield North
B. St. Matthew's
C. Cleadon and East Boldon",B. St. Matthew's,"partial,correct,random"
St. Matthew's,south,Unsworth,borders,Palfrey,"St. Matthew's is south Unsworth, borders Palfrey",Which city lies south to Unsworth and borders Palfrey?,"A. St. Matthew's
B. Rushall-Shelfield
C. Cheadle Hulme North",A. St. Matthew's,"correct,random,partial"
Cressington,south,Page Moss,within,North West Euro Region,"Cressington is south Page Moss, within North West Euro Region",Which city lies south to Page Moss and within North West Euro Region?,"A. Cheetham
B. Langworthy
C. Cressington",C. Cressington,"random,partial,correct"
Cressington,north,Northfield,borders,Speke-Garston,"Cressington is north Northfield, borders Speke-Garston",Which city lies north to Northfield and borders Speke-Garston?,"A. Roundhay
B. Cressington
C. Bloxwich West",B. Cressington,"random,correct,partial"
